XUTM,YUTM,EC 0-0.25 m
504426.96875,6148835.00000,28.89989
504426.93750,6148835.50000,28.46821
504426.87500,6148835.00000,28.22461
504428.40625,6148835.00000,29.37418
504427.09375,6148836.00000,28.37873
504428.40625,6148836.00000,29.51955
504425.75000,6148835.50000,26.73421
504426.59375,6148834.50000,27.48857
504426.93750,6148834.50000,28.10632
504428.40625,6148834.00000,29.35613
504429.50000,6148835.50000,29.37048
504429.34375,6148834.50000,29.58277
504426.96875,6148836.50000,28.42307
504427.25000,6148836.00000,28.92833
504425.75000,6148836.50000,27.09576
504428.40625,6148837.00000,29.46632
504429.56250,6148836.50000,29.22926
504424.50000,6148836.50000,25.81960
504424.34375,6148835.50000,25.20746
504425.75000,6148834.50000,25.82090
504426.65625,6148834.00000,27.17932
504426.93750,6148833.50000,27.49591
504428.40625,6148833.00000,28.96632
504429.09375,6148833.50000,29.55162
504431.18750,6148835.50000,27.48638
504431.09375,6148835.00000,26.99940
504430.84375,6148834.00000,27.70903
504427.25000,6148837.00000,28.62437
504426.96875,6148837.50000,28.08981
504427.46875,6148837.00000,28.76689
504424.62500,6148837.50000,26.09668
504425.71875,6148837.50000,26.81304
504428.43750,6148838.00000,28.97312
504429.59375,6148837.50000,28.59506
504431.12500,6148836.50000,28.23231
504423.78125,6148836.00000,25.29983
504423.81250,6148837.00000,25.89857
504423.75000,6148835.00000,24.34173
504424.06250,6148834.50000,24.46557
504426.21875,6148833.50000,26.63662
504425.75000,6148833.50000,24.93285
504426.96875,6148832.50000,26.98956
504426.37500,6148833.00000,26.31165
504428.43750,6148832.00000,28.47379
504428.81250,6148832.50000,29.11730
504430.46875,6148833.00000,27.72355
504431.37500,6148836.00000,27.13968
504432.68750,6148835.50000,22.54519
504431.25000,6148834.50000,25.87093
504432.65625,6148834.50000,21.69693
504431.28125,6148833.50000,25.79119
504427.40625,6148838.00000,28.20455
504426.96875,6148838.50000,27.56457
504427.68750,6148838.00000,28.19439
504423.81250,6148838.00000,26.23772
504424.78125,6148838.50000,26.09483
504425.68750,6148838.50000,26.45841
504428.43750,6148839.00000,28.23015
504429.59375,6148838.50000,28.05948
504431.03125,6148837.50000,28.02422
504430.96875,6148838.50000,27.49893
504431.56250,6148837.00000,26.83247
504422.87500,6148836.50000,25.86927
504422.81250,6148835.50000,25.00735
504422.93750,6148837.50000,26.55363
504423.68750,6148834.00000,23.63840
504422.68750,6148834.50000,24.09695
504423.75000,6148833.50000,23.92444
504425.81250,6148832.50000,25.37985
504423.62500,6148833.00000,22.93852
504425.75000,6148832.50000,24.44306
504426.00000,6148832.00000,25.63697
504426.96875,6148831.50000,26.49756
504428.53125,6148831.50000,28.26305
504430.03125,6148832.00000,28.00664
504431.28125,6148832.50000,25.78804
504432.75000,6148836.50000,22.89214
504433.28125,6148836.00000,19.52717
504433.06250,6148835.00000,19.32087
504432.62500,6148833.50000,21.38553
504432.75000,6148834.00000,17.76616
504432.46875,6148833.00000,22.84885
504427.50000,6148839.00000,27.47107
504426.93750,6148839.50000,26.90725
504427.81250,6148839.00000,27.50149
504422.96875,6148838.50000,27.02884
504423.84375,6148839.00000,26.40080
504424.84375,6148839.50000,25.90118
504425.68750,6148839.50000,25.97518
504429.59375,6148839.50000,27.28747
504428.46875,6148840.00000,27.39533
504430.87500,6148839.50000,26.62559
504431.65625,6148838.00000,26.39722
504431.75000,6148839.00000,25.66675
504432.78125,6148837.50000,23.19732
504422.15625,6148836.00000,25.62951
504422.15625,6148837.00000,26.44622
504422.15625,6148835.00000,24.74290
504422.15625,6148838.00000,27.23233
504422.43750,6148833.50000,23.31999
504422.12500,6148834.00000,23.69964
504423.59375,6148832.00000,22.77312
504423.40625,6148832.50000,22.60425
504425.40625,6148831.50000,24.38710
504425.75000,6148831.50000,25.04687
504427.00000,6148830.50000,25.98213
504425.75000,6148830.50000,24.87106
504428.25000,6148831.00000,27.22015
504428.46875,6148831.00000,27.96539
504429.62500,6148831.50000,27.70265
504431.28125,6148831.50000,25.72831
504432.06250,6148832.00000,23.16196
504433.40625,6148837.00000,19.95135
504434.56250,6148835.50000,14.73410
504434.59375,6148836.50000,15.76263
504434.56250,6148834.50000,14.19064
504432.62500,6148832.50000,19.85515
504434.56250,6148833.50000,13.50127
504434.50000,6148833.50000,13.61000
504434.06250,6148832.50000,14.48061
504427.62500,6148840.00000,26.92132
504426.93750,6148840.50000,26.10339
504422.15625,6148839.00000,27.76338
504423.00000,6148839.50000,27.30808
504423.84375,6148840.00000,26.43026
504424.90625,6148840.50000,25.52112
504425.68750,6148840.50000,25.40193
504429.62500,6148840.50000,26.68517
504430.81250,6148840.50000,26.07234
504427.87500,6148840.00000,26.66036
504428.46875,6148841.00000,26.58240
504431.81250,6148840.00000,24.91045
504432.84375,6148838.50000,23.18009
504432.90625,6148839.50000,22.96319
504433.53125,6148838.00000,20.36742
504420.93750,6148837.00000,26.22387
504420.78125,6148836.00000,25.56276
504421.09375,6148838.00000,27.00396
504420.62500,6148835.00000,24.58905
504421.15625,6148839.00000,27.72315
504422.12500,6148833.00000,22.68958
504420.37500,6148834.00000,23.83150
504423.56250,6148831.00000,22.89837
504423.03125,6148831.50000,22.28325
504422.09375,6148832.00000,22.08843
504422.15625,6148832.50000,22.28892
504425.59375,6148831.00000,24.60043
504425.00000,6148830.50000,23.95024
504427.84375,6148830.00000,26.38817
504426.96875,6148829.50000,25.80936
504425.75000,6148829.50000,24.85762
504425.12500,6148830.50000,24.30011
504428.46875,6148830.00000,26.77780
504429.18750,6148830.50000,27.17954
504431.28125,6148830.50000,24.75258
504431.12500,6148830.00000,25.18254
504431.59375,6148831.00000,23.89058
504432.59375,6148831.50000,20.55622
504434.59375,6148837.50000,16.93396
504435.37500,6148836.00000,13.59874
504435.18750,6148835.00000,12.52723
504435.53125,6148837.00000,14.74155
504434.84375,6148834.00000,12.46976
504433.53125,6148831.50000,16.87331
504435.34375,6148833.00000,11.92129
504434.56250,6148832.50000,13.17791
504434.21875,6148831.50000,14.80499
504434.84375,6148832.00000,12.59167
504434.56250,6148831.50000,13.40253
504427.68750,6148841.00000,26.00956
504426.93750,6148841.50000,25.13718
504421.21875,6148840.00000,28.18761
504422.18750,6148840.00000,28.21163
504423.03125,6148840.50000,27.46958
504423.87500,6148841.00000,26.38813
504424.93750,6148841.50000,25.11901
504425.71875,6148841.50000,24.84434
504429.65625,6148841.50000,26.16574
504430.75000,6148841.50000,25.63034
504431.90625,6148841.00000,24.42587
504428.50000,6148842.00000,25.93946
504427.93750,6148841.00000,25.57274
504432.93750,6148840.50000,22.90235
504433.62500,6148838.50000,20.83183
504433.65625,6148839.50000,21.26816
504434.59375,6148838.50000,18.07445
504420.28125,6148836.50000,25.47929
504420.31250,6148837.50000,26.16860
504420.21875,6148835.50000,24.65169
