XUTM,YUTM,EC 0-0.25 m
648606.87500,6132567.00000,9.45231
648607.25000,6132567.00000,9.34178
648606.31250,6132567.50000,9.57619
648606.62500,6132566.50000,9.68664
648607.81250,6132567.00000,9.29582
648608.25000,6132567.00000,9.14421
648607.62500,6132568.50000,9.47114
648608.62500,6132568.50000,9.27261
648605.87500,6132567.50000,9.92989
648606.68750,6132569.00000,9.79308
648605.62500,6132566.50000,10.05593
648607.56250,6132566.00000,9.57907
648605.81250,6132566.00000,10.43560
648606.75000,6132565.50000,10.07966
648608.75000,6132566.50000,9.17108
648609.56250,6132568.00000,9.18491
648609.18750,6132566.50000,9.08487
648608.37500,6132569.50000,9.49662
648607.37500,6132569.50000,9.69970
648609.31250,6132569.00000,9.29589
648605.31250,6132567.50000,10.06031
648605.68750,6132569.00000,10.46300
648606.43750,6132570.00000,10.21027
648604.87500,6132566.00000,10.98851
648604.68750,6132567.00000,10.82400
648608.50000,6132565.50000,9.51566
648607.75000,6132565.00000,9.81725
648605.75000,6132564.50000,11.06382
648604.81250,6132565.00000,11.23995
648606.75000,6132564.50000,10.78312
648609.68750,6132566.00000,9.12747
648610.50000,6132568.00000,9.20012
648610.25000,6132568.50000,9.34373
648610.12500,6132566.50000,9.09584
648609.25000,6132570.50000,9.66582
648608.31250,6132570.50000,9.89245
648607.31250,6132571.00000,10.25915
648604.93750,6132568.00000,10.71777
648605.50000,6132570.50000,10.93448
648604.75000,6132569.50000,11.38857
648606.37500,6132571.00000,11.07679
648603.87500,6132566.00000,11.65313
648603.87500,6132565.00000,11.78837
648604.37500,6132568.00000,10.94331
648603.75000,6132567.00000,11.73846
648609.50000,6132565.50000,9.57961
648608.68750,6132565.00000,9.76831
648607.68750,6132564.00000,10.64825
648605.00000,6132564.00000,12.08313
648605.93750,6132563.50000,11.80664
648604.00000,6132564.00000,12.32821
648606.93750,6132563.50000,11.54317
648610.62500,6132566.00000,9.15470
648611.18750,6132568.50000,9.34077
648611.50000,6132567.50000,9.27351
648610.12500,6132571.00000,9.93596
648611.06250,6132570.50000,9.83974
648611.12500,6132566.00000,9.20663
648609.12500,6132571.00000,10.04315
648608.18750,6132571.50000,10.31093
648607.25000,6132571.50000,10.90940
648605.43750,6132571.50000,12.04014
648604.56250,6132570.50000,11.90419
648604.00000,6132568.00000,11.82337
648603.75000,6132569.50000,12.46959
648606.25000,6132572.00000,11.84702
648602.93750,6132566.50000,12.24735
648602.87500,6132565.50000,12.25573
648603.00000,6132564.50000,12.45844
648603.43750,6132568.50000,12.17994
648602.75000,6132567.50000,12.40357
648610.43750,6132565.00000,9.72509
648609.62500,6132564.50000,9.80182
648608.68750,6132564.00000,10.59468
648607.87500,6132563.00000,11.39905
648605.56250,6132562.50000,12.88704
648604.62500,6132562.50000,12.91365
648606.56250,6132562.00000,12.87520
648603.62500,6132563.00000,13.02705
648607.50000,6132562.00000,12.81231
648611.56250,6132565.50000,9.33906
648612.00000,6132570.00000,9.86397
648612.18750,6132568.00000,9.42350
648612.43750,6132567.50000,9.34853
648611.18750,6132571.00000,10.14040
648610.25000,6132571.50000,10.33531
648612.12500,6132570.50000,10.08848
648612.06250,6132566.00000,9.31900
648609.25000,6132571.50000,10.67386
648608.31250,6132572.00000,11.19527
648607.37500,6132572.00000,12.13820
648605.31250,6132572.50000,12.93242
648604.43750,6132571.50000,13.14402
648603.56250,6132571.00000,13.15456
648603.06250,6132568.50000,12.71628
648602.81250,6132570.00000,13.50954
648606.43750,6132572.50000,13.25498
648601.93750,6132566.50000,12.67980
648601.93750,6132566.00000,12.61402
648602.06250,6132564.50000,12.46766
648602.68750,6132563.00000,12.81438
648602.43750,6132568.50000,12.81740
648601.81250,6132567.50000,12.91149
648611.37500,6132565.00000,9.89856
648610.62500,6132564.50000,10.02839
648609.62500,6132563.50000,10.58062
648609.81250,6132563.00000,11.44601
648608.43750,6132561.50000,12.79405
648605.18750,6132561.50000,13.90062
648606.18750,6132561.50000,13.73845
648604.25000,6132562.00000,13.91938
648607.12500,6132561.00000,13.62807
648603.25000,6132562.00000,13.62762
648608.12500,6132561.00000,13.68360
648612.50000,6132565.00000,9.64584
648613.06250,6132570.50000,10.13219
648613.31250,6132569.00000,9.91281
648613.12500,6132568.00000,9.49051
648613.43750,6132567.00000,9.36875
648613.06250,6132565.50000,9.49912
648611.43750,6132572.00000,10.53369
648610.00000,6132572.00000,10.84123
648612.43750,6132571.50000,10.33750
648609.06250,6132572.50000,11.30092
648608.12500,6132573.00000,12.13716
648607.12500,6132573.00000,13.37824
648605.43750,6132573.00000,14.60081
648604.37500,6132572.50000,14.18704
648603.50000,6132572.00000,14.78978
648602.62500,6132571.00000,14.51780
648601.81250,6132570.00000,14.45843
648602.06250,6132568.50000,13.61613
648606.18750,6132573.50000,14.60383
648601.00000,6132566.00000,12.82505
648601.00000,6132567.00000,12.88975
648601.06250,6132564.50000,12.56430
648601.31250,6132562.50000,13.07239
648602.31250,6132562.50000,12.95723
648600.87500,6132568.00000,13.38094
648612.37500,6132564.50000,10.03950
648611.56250,6132564.00000,10.23650
648610.56250,6132563.50000,10.86386
648609.43750,6132561.50000,12.82181
648610.37500,6132561.00000,12.66544
648611.75000,6132562.00000,11.35707
648609.06250,6132560.50000,13.54346
648605.75000,6132560.00000,15.50705
648604.75000,6132560.50000,15.22987
648606.68750,6132560.00000,15.50101
648603.81250,6132560.50000,15.25143
648607.62500,6132559.50000,15.37919
648602.81250,6132561.00000,15.29356
648608.62500,6132559.00000,15.22154
648613.43750,6132564.50000,9.82721
648613.37500,6132571.00000,10.30321
648614.06250,6132570.00000,10.19822
648614.25000,6132569.50000,10.03866
648614.31250,6132569.00000,9.83995
648614.06250,6132567.50000,9.51703
648614.37500,6132566.50000,9.39956
648614.00000,6132565.50000,9.68713
648611.68750,6132572.50000,10.80656
648612.68750,6132572.50000,10.56507
648610.75000,6132573.00000,11.12670
648609.81250,6132573.50000,11.77728
648613.62500,6132572.00000,10.38883
648608.81250,6132573.50000,12.86828
648607.87500,6132574.00000,13.87904
648606.87500,6132574.00000,14.89685
648605.18750,6132573.50000,16.14304
648604.50000,6132573.00000,16.14074
648603.43750,6132573.00000,16.37148
648602.50000,6132572.00000,16.38764
648601.68750,6132571.50000,15.77287
648601.12500,6132569.00000,13.97166
648600.87500,6132570.50000,15.05708
648605.93750,6132574.50000,16.39642
648600.00000,6132566.50000,12.88226
648600.00000,6132567.00000,12.97367
648598.25000,6132564.50000,12.66333
648600.87500,6132561.00000,14.36125
648599.87500,6132561.50000,13.84292
648601.81250,6132561.00000,14.61509
648598.93750,6132561.50000,13.12318
648600.12500,6132569.00000,14.14057
648599.87500,6132568.50000,13.49921
648613.31250,6132564.00000,10.09881
648612.50000,6132563.50000,10.33114
648611.56250,6132563.00000,10.86937
648610.06250,6132560.50000,13.28980
648611.31250,6132560.50000,12.48692
648611.00000,6132560.00000,13.02416
648612.68750,6132562.00000,11.17213
648612.31250,6132560.50000,12.09897
648612.50000,6132562.50000,10.94520
648609.56250,6132559.00000,14.84278
648604.68750,6132559.00000,17.55659
648605.62500,6132558.50000,17.35005
648603.75000,6132559.00000,17.39544
648606.62500,6132558.50000,17.18099
648602.75000,6132559.50000,17.04888
648607.56250,6132558.00000,17.03632
648601.81250,6132559.50000,16.50632
648608.56250,6132558.00000,16.67810
648614.37500,6132564.50000,9.90816
648614.56250,6132572.00000,10.44518
648614.31250,6132571.00000,10.42789
648615.00000,6132570.00000,10.28795
648615.18750,6132569.00000,10.03892
648615.25000,6132568.50000,9.73143
648615.00000,6132567.00000,9.56181
648615.37500,6132566.50000,9.48521
648614.93750,6132565.00000,9.83771
648612.87500,6132573.00000,10.86207
648611.93750,6132573.50000,11.14464
648613.87500,6132573.00000,10.67953
648611.00000,6132574.00000,11.66112
648610.06250,6132574.00000,12.43634
648614.81250,6132572.50000,10.69957
648609.06250,6132574.50000,13.18367
648608.12500,6132574.50000,14.19287
648607.12500,6132575.00000,15.68001
648604.93750,6132574.50000,17.80619
648604.25000,6132574.00000,17.61231
648603.50000,6132573.50000,17.96220
648602.43750,6132573.00000,18.21181
648601.56250,6132572.50000,17.53856
648600.68750,6132571.50000,16.55275
648599.87500,6132570.50000,15.30092
648606.18750,6132575.00000,17.21563
648599.06250,6132566.50000,12.81434
648599.00000,6132567.50000,12.99740
648598.12500,6132567.00000,12.74149
648597.25000,6132565.00000,12.51818
648597.18750,6132563.50000,12.08541
648597.93750,6132562.00000,12.48637
648599.87500,6132560.00000,14.50974
648600.81250,6132560.00000,15.37228
648598.87500,6132560.50000,13.47959
648597.93750,6132561.00000,12.86437
648599.18750,6132569.50000,14.25993
648598.93750,6132568.50000,13.59035
648614.25000,6132564.00000,10.12594
648613.50000,6132563.50000,10.36752
648610.50000,6132558.50000,14.17674
648611.93750,6132560.00000,12.68008
648611.50000,6132558.50000,13.57452
648613.43750,6132562.50000,10.72561
648613.68750,6132561.50000,11.00570
648613.25000,6132560.00000,11.80250
648612.93750,6132559.50000,12.31215
648609.50000,6132557.50000,16.09355
648604.50000,6132557.50000,19.76220
648603.56250,6132558.00000,19.73984
648605.50000,6132557.50000,19.51276
648602.56250,6132558.00000,19.41298
648606.43750,6132557.00000,19.08159
648601.62500,6132558.50000,18.65970
648607.37500,6132557.00000,18.58741
648600.68750,6132559.00000,17.58910
648608.37500,6132556.50000,17.89891
648615.31250,6132564.00000,9.99786
