"x";"y";"ECa";"optional"
"1";648606.875;6132567;9.45231;TRUE
"2";648607.25;6132567;9.34178;TRUE
"3";648606.3125;6132567.5;9.57619;TRUE
"4";648606.625;6132566.5;9.68664;TRUE
"5";648607.8125;6132567;9.29582;TRUE
"6";648608.25;6132567;9.14421;TRUE
"7";648607.625;6132568.5;9.47114;TRUE
"8";648608.625;6132568.5;9.27261;TRUE
"9";648605.875;6132567.5;9.92989;TRUE
"10";648606.6875;6132569;9.79308;TRUE
"11";648605.625;6132566.5;10.05593;TRUE
"12";648607.5625;6132566;9.57907;TRUE
"13";648605.8125;6132566;10.4356;TRUE
"14";648606.75;6132565.5;10.07966;TRUE
"15";648608.75;6132566.5;9.17108;TRUE
"16";648609.5625;6132568;9.18491;TRUE
"17";648609.1875;6132566.5;9.08487;TRUE
"18";648608.375;6132569.5;9.49662;TRUE
"19";648607.375;6132569.5;9.6997;TRUE
"20";648609.3125;6132569;9.29589;TRUE
"21";648605.3125;6132567.5;10.06031;TRUE
"22";648605.6875;6132569;10.463;TRUE
"23";648606.4375;6132570;10.21027;TRUE
"24";648604.875;6132566;10.98851;TRUE
"25";648604.6875;6132567;10.824;TRUE
"26";648608.5;6132565.5;9.51566;TRUE
"27";648607.75;6132565;9.81725;TRUE
"28";648605.75;6132564.5;11.06382;TRUE
"29";648604.8125;6132565;11.23995;TRUE
"30";648606.75;6132564.5;10.78312;TRUE
"31";648609.6875;6132566;9.12747;TRUE
"32";648610.5;6132568;9.20012;TRUE
"33";648610.25;6132568.5;9.34373;TRUE
"34";648610.125;6132566.5;9.09584;TRUE
"35";648609.25;6132570.5;9.66582;TRUE
"36";648608.3125;6132570.5;9.89245;TRUE
"37";648607.3125;6132571;10.25915;TRUE
"38";648604.9375;6132568;10.71777;TRUE
"39";648605.5;6132570.5;10.93448;TRUE
"40";648604.75;6132569.5;11.38857;TRUE
"41";648606.375;6132571;11.07679;TRUE
"42";648603.875;6132566;11.65313;TRUE
"43";648603.875;6132565;11.78837;TRUE
"44";648604.375;6132568;10.94331;TRUE
"45";648603.75;6132567;11.73846;TRUE
"46";648609.5;6132565.5;9.57961;TRUE
"47";648608.6875;6132565;9.76831;TRUE
"48";648607.6875;6132564;10.64825;TRUE
"49";648605;6132564;12.08313;TRUE
"50";648605.9375;6132563.5;11.80664;TRUE
"51";648604;6132564;12.32821;TRUE
"52";648606.9375;6132563.5;11.54317;TRUE
"53";648610.625;6132566;9.1547;TRUE
"54";648611.1875;6132568.5;9.34077;TRUE
"55";648611.5;6132567.5;9.27351;TRUE
"56";648610.125;6132571;9.93596;TRUE
"57";648611.0625;6132570.5;9.83974;TRUE
"58";648611.125;6132566;9.20663;TRUE
"59";648609.125;6132571;10.04315;TRUE
"60";648608.1875;6132571.5;10.31093;TRUE
"61";648607.25;6132571.5;10.9094;TRUE
"62";648605.4375;6132571.5;12.04014;TRUE
"63";648604.5625;6132570.5;11.90419;TRUE
"64";648604;6132568;11.82337;TRUE
"65";648603.75;6132569.5;12.46959;TRUE
"66";648606.25;6132572;11.84702;TRUE
"67";648602.9375;6132566.5;12.24735;TRUE
"68";648602.875;6132565.5;12.25573;TRUE
"69";648603;6132564.5;12.45844;TRUE
"70";648603.4375;6132568.5;12.17994;TRUE
"71";648602.75;6132567.5;12.40357;TRUE
"72";648610.4375;6132565;9.72509;TRUE
"73";648609.625;6132564.5;9.80182;TRUE
"74";648608.6875;6132564;10.59468;TRUE
"75";648607.875;6132563;11.39905;TRUE
"76";648605.5625;6132562.5;12.88704;TRUE
"77";648604.625;6132562.5;12.91365;TRUE
"78";648606.5625;6132562;12.8752;TRUE
