"x";"y";"ECa";"optional"
"139";535318.0625;6247911;5.14285;TRUE
"140";535319.625;6247906;6.20052;TRUE
"141";535325.75;6247887;5.3008;TRUE
"143";535335.0625;6247859.5;9.15069;TRUE
"144";535334;6247862.5;8.35147;TRUE
"145";535332.75;6247866;7.06348;TRUE
"146";535331.8125;6247868.5;6.26182;TRUE
"147";535330.9375;6247871.5;5.96118;TRUE
"148";535329.375;6247876;5.72904;TRUE
"149";535328.4375;6247879;5.5334;TRUE
"150";535327.5;6247882;5.37158;TRUE
"151";535324.4375;6247891;5.32912;TRUE
"152";535323.5;6247894;5.36714;TRUE
"153";535321.875;6247899;5.88634;TRUE
"154";535320.5625;6247903;6.25007;TRUE
"206";535315.75;6247918.5;3.6161;TRUE
"207";535315;6247916.5;4.06286;TRUE
"208";535312.8125;6247914.5;4.43643;TRUE
"209";535310;6247913;4.81144;TRUE
"210";535314.75;6247903.5;5.99347;TRUE
"211";535311.75;6247903.5;5.79744;TRUE
"212";535317.5;6247902.5;6.1812;TRUE
"213";535324.9375;6247886;5.30087;TRUE
"214";535323.875;6247889;5.3093;TRUE
"216";535337.0625;6247854;10.57328;TRUE
"217";535331.5;6247857.5;9.17339;TRUE
"218";535329.0625;6247859;8.34908;TRUE
"219";535325.1875;6247870;6.85057;TRUE
"220";535327.3125;6247872;6.25297;TRUE
"221";535327.125;6247875;5.9293;TRUE
"222";535324.5;6247876;5.8726;TRUE
"223";535323.9375;6247883.5;5.22513;TRUE
"224";535321.5625;6247881.5;5.23006;TRUE
"225";535321.5625;6247890.5;5.36287;TRUE
"226";535318.625;6247891;5.3665;TRUE
"227";535317.8125;6247899.5;6.03977;TRUE
"228";535315.5;6247898;5.66867;TRUE
"275";535314.875;6247921;3.40308;TRUE
"276";535313.9375;6247924;3.11768;TRUE
"297";535315;6247919;3.70209;TRUE
"298";535312.3125;6247920.5;3.54852;TRUE
"299";535309.3125;6247920;3.6102;TRUE
"300";535306.375;6247919.5;3.89871;TRUE
"301";535307.1875;6247912.5;5.04601;TRUE
"302";535308.8125;6247903;5.8391;TRUE
"303";535312.625;6247897;5.57979;TRUE
"305";535331.375;6247855;9.25473;TRUE
"306";535337.0625;6247851;10.62337;TRUE
"307";535322.375;6247869;7.08065;TRUE
"308";535329.0625;6247853;8.77769;TRUE
"309";535326.25;6247852;7.92415;TRUE
"310";535320.75;6247858.5;7.92723;TRUE
"311";535319.1875;6247875.5;5.49111;TRUE
"312";535318.75;6247880.5;5.22822;TRUE
"313";535315.625;6247890.5;5.0728;TRUE
"359";535311.75;6247931;2.80452;TRUE
"360";535313.0625;6247927;2.87461;TRUE
"361";535308.0625;6247926.5;2.96705;TRUE
"363";535310.9375;6247934;2.78315;TRUE
"364";535310.0625;6247937;2.81644;TRUE
"385";535305.1875;6247925.5;3.22855;TRUE
"386";535302.3125;6247925;3.53588;TRUE
"387";535303.5;6247919;4.06284;TRUE
"388";535304.3125;6247911.5;5.19519;TRUE
"389";535305.9375;6247902;5.84589;TRUE
"390";535309.75;6247896;5.67028;TRUE
"391";535312.6875;6247890;4.93845;TRUE
"393";535335.1875;6247849;10.07678;TRUE
"397";535319.5;6247868;7.08824;TRUE
"401";535323.375;6247851;7.6313;TRUE
"402";535320.5;6247850.5;7.73496;TRUE
"403";535317.875;6247858;8.07809;TRUE
"404";535316.625;6247867.5;7.2102;TRUE
"405";535316.3125;6247874.5;5.61447;TRUE
"406";535315.875;6247879.5;5.20464;TRUE
"453";535311.5625;6247931;2.71911;TRUE
"454";535310.5625;6247928;2.79694;TRUE
"455";535308.1875;6247934.5;2.77901;TRUE
"456";535305.25;6247935;2.8183;TRUE
"457";535309.125;6247939.5;2.85184;TRUE
"463";535308.25;6247942.5;2.86203;TRUE
"492";535302.25;6247934.5;2.83635;TRUE
"493";535299.375;6247934;2.91991;TRUE
"494";535299.375;6247924;3.73013;TRUE
"495";535300.625;6247918;4.35067;TRUE
"496";535301.5;6247910.5;5.25815;TRUE
"497";535303.0625;6247901;5.81436;TRUE
"498";535306.875;6247895.5;5.84148;TRUE
"499";535309.75;6247889.5;4.97314;TRUE
"500";535313;6247879;5.0506;TRUE
"503";535317.625;6247849.5;7.82752;TRUE
"504";535313.75;6247866.5;7.34571;TRUE
"505";535315;6247857;8.27589;TRUE
"506";535313.5;6247873.5;5.90677;TRUE
"555";535303.4375;6247942.5;2.87322;TRUE
"562";535307.375;6247945.5;2.86927;TRUE
"563";535306.4375;6247948;2.92573;TRUE
"564";535306.6875;6247947;2.91893;TRUE
"566";535305.9375;6247944.5;2.89443;TRUE
"616";535300.5625;6247942;2.8181;TRUE
"617";535297.6875;6247941;2.80237;TRUE
"618";535294.875;6247940;2.86459;TRUE
"619";535296.4375;6247933.5;3.12624;TRUE
"620";535296.5;6247923.5;3.97848;TRUE
"621";535297.75;6247917;4.50358;TRUE
"622";535298.625;6247909.5;5.24222;TRUE
"623";535300.1875;6247900.5;5.86148;TRUE
"624";535304;6247894.5;6.08313;TRUE
"625";535306.875;6247888.5;5.45544;TRUE
"626";535310.125;6247878;5.60291;TRUE
"629";535314.75;6247848.5;8.0211;TRUE
"630";535310.875;6247865.5;7.66205;TRUE
"631";535310.625;6247873;6.50527;TRUE
"632";535308;6247865;8.12754;TRUE
"633";535308.625;6247855;8.63442;TRUE
"683";535304.6875;6247949;2.97028;TRUE
"684";535301.75;6247949.5;2.953;TRUE
"705";535305.5;6247951;3.009;TRUE
"782";535298.75;6247949.5;2.8458;TRUE
"783";535295.875;6247949;2.75264;TRUE
"784";535293;6247948;2.75304;TRUE
"785";535290.0625;6247947;2.81869;TRUE
"786";535292.0625;6247939;3.0036;TRUE
"787";535293.5625;6247932.5;3.31392;TRUE
"788";535293.625;6247922.5;4.08325;TRUE
"789";535294.875;6247916;4.552;TRUE
"790";535295.6875;6247908.5;5.27763;TRUE
"791";535297.3125;6247899.5;5.92246;TRUE
"792";535301.125;6247893.5;6.19764;TRUE
"793";535303.9375;6247888;6.02187;TRUE
"794";535307.1875;6247877;6.14439;TRUE
"812";535311.8125;6247848;8.31039;TRUE
"813";535305;6247871;7.36638;TRUE
"814";535305.125;6247864;8.29493;TRUE
"815";535305.75;6247854;8.81002;TRUE
"816";535308.9375;6247847;8.61395;TRUE
"863";535304.625;6247954;3.12089;TRUE
"864";535299.5625;6247957;3.14042;TRUE
