XUTM,YUTM,EC 0-0.25 m
507725.06250,6082871.50000,1.74982
507725.68750,6082871.50000,1.76815
507725.28125,6082872.00000,1.77699
507724.68750,6082871.50000,1.75352
507726.06250,6082871.50000,1.76664
507726.65625,6082871.00000,1.73700
507725.25000,6082873.50000,1.88076
507724.28125,6082872.50000,1.76416
507726.18750,6082873.00000,1.84309
507724.09375,6082872.00000,1.74125
507723.71875,6082872.00000,1.72317
507721.71875,6082872.00000,1.66974
507727.06250,6082871.50000,1.74087
507727.31250,6082872.00000,1.76316
507727.65625,6082871.00000,1.73097
507719.75000,6082872.50000,1.62101
507720.75000,6082872.00000,1.64394
507718.75000,6082872.50000,1.60105
507724.81250,6082874.50000,2.01651
507724.53125,6082874.00000,1.92699
507725.71875,6082874.50000,2.09975
507723.28125,6082872.50000,1.73098
507727.15625,6082873.00000,1.82592
507727.59375,6082874.50000,2.10826
507723.09375,6082872.00000,1.69558
507722.71875,6082872.00000,1.66854
507722.09375,6082872.00000,1.65149
507721.12500,6082872.50000,1.64777
507722.28125,6082872.50000,1.70109
507721.28125,6082872.50000,1.70736
507728.03125,6082871.50000,1.71738
507728.31250,6082872.00000,1.73205
507728.62500,6082871.00000,1.68090
507720.12500,6082872.50000,1.60203
507719.12500,6082872.50000,1.64275
507720.31250,6082872.50000,1.66562
507718.15625,6082872.50000,1.59659
507718.34375,6082873.00000,1.61521
507717.75000,6082872.50000,1.56534
507724.09375,6082875.00000,2.05384
507724.62500,6082875.50000,2.17000
507723.81250,6082874.50000,1.97187
507726.40625,6082875.50000,2.27069
507725.21875,6082876.00000,2.38786
507722.81250,6082874.50000,1.96170
507728.06250,6082873.50000,1.89306
507728.28125,6082874.00000,2.02777
507727.21875,6082875.50000,2.38254
507727.93750,6082875.00000,2.20508
507721.96875,6082874.50000,1.88981
507720.59375,6082874.50000,1.83355
507720.96875,6082874.50000,1.96320
507729.03125,6082871.00000,1.65623
507728.90625,6082873.00000,1.84107
507729.28125,6082871.50000,1.67359
507729.62500,6082870.50000,1.63616
507706.34375,6082874.00000,1.38580
507747.09375,6082867.00000,1.49932
507718.90625,6082873.50000,1.67961
507719.84375,6082873.50000,1.76357
507717.90625,6082873.50000,1.60602
507717.34375,6082873.00000,1.57297
507717.15625,6082873.00000,1.56567
507716.78125,6082872.50000,1.54858
507708.34375,6082873.50000,1.43143
507709.34375,6082873.50000,1.44531
507712.34375,6082873.50000,1.42252
507723.78125,6082874.50000,2.04355
507723.62500,6082875.50000,2.11627
507724.00000,6082876.00000,2.20668
507724.12500,6082876.50000,2.30771
507722.87500,6082874.50000,1.98668
507726.84375,6082876.50000,2.48379
507724.21875,6082877.00000,2.48829
507724.43750,6082877.00000,2.61438
507725.62500,6082877.00000,2.58371
507722.90625,6082874.50000,2.02201
507721.87500,6082875.00000,1.98453
507722.09375,6082875.00000,2.04442
507728.31250,6082873.50000,1.92037
507728.75000,6082874.00000,1.97961
507727.28125,6082876.50000,2.63450
507727.93750,6082876.00000,2.45437
507729.25000,6082875.00000,2.17907
507720.09375,6082875.00000,1.97681
507721.21875,6082875.00000,2.04106
507721.06250,6082875.50000,2.13645
507729.18750,6082873.00000,1.86456
507729.78125,6082872.50000,1.76275
507730.03125,6082871.00000,1.59615
507730.46875,6082872.00000,1.69302
507730.28125,6082871.50000,1.59432
507730.59375,6082870.50000,1.58680
507731.59375,6082870.50000,1.51525
507705.56250,6082874.50000,1.41065
507707.34375,6082873.50000,1.40834
507704.62500,6082874.00000,1.30808
507702.62500,6082874.00000,1.40456
507706.53125,6082874.50000,1.45875
507741.43750,6082868.50000,1.41204
507740.43750,6082869.00000,1.41031
507739.46875,6082869.00000,1.39541
507742.40625,6082868.50000,1.40202
507697.12500,6082874.50000,1.82331
507747.37500,6082868.00000,1.52735
507746.37500,6082868.00000,1.51309
507735.53125,6082870.00000,1.41311
507696.15625,6082874.50000,1.84977
507746.18750,6082867.50000,1.49300
507748.06250,6082867.00000,1.52457
507738.46875,6082869.00000,1.36117
507736.53125,6082869.50000,1.36688
507693.40625,6082875.00000,1.85646
507701.03125,6082874.00000,1.62567
507718.12500,6082874.00000,1.67407
507718.96875,6082874.50000,1.78507
507719.62500,6082875.00000,1.96818
507717.15625,6082873.50000,1.57749
507717.28125,6082874.00000,1.63682
507716.34375,6082873.00000,1.55168
507715.78125,6082873.00000,1.50807
507709.06250,6082874.50000,1.47914
507708.06250,6082874.50000,1.48727
