"x";"y";"ECa";"optional"
"466";507722.78125;6082881;3.54503;TRUE
"467";507722.125;6082881;3.5235;TRUE
"469";507720.875;6082881;3.48867;TRUE
"470";507726.21875;6082880.5;3.42495;TRUE
"471";507724.84375;6082881;3.58637;TRUE
"472";507724.09375;6082881.5;3.58969;TRUE
"603";507727.84375;6082881;3.39078;TRUE
"604";507726.78125;6082881;3.47589;TRUE
"605";507722.75;6082881.5;3.63518;TRUE
"606";507721.125;6082881;3.63885;TRUE
"607";507721.6875;6082882;3.6081;TRUE
"609";507719.3125;6082881.5;3.36535;TRUE
"610";507719.90625;6082882;3.46342;TRUE
"611";507720.96875;6082882;3.57131;TRUE
"612";507726.375;6082881;3.5325;TRUE
"613";507724.75;6082882;3.71901;TRUE
"614";507724.90625;6082882;3.65038;TRUE
"615";507726.46875;6082882;3.53456;TRUE
"616";507723.34375;6082882.5;3.6019;TRUE
"617";507722.90625;6082882;3.69207;TRUE
"620";507730.0625;6082880;3.15028;TRUE
"621";507729.46875;6082881;3.29621;TRUE
"747";507727.96875;6082882;3.40865;TRUE
"748";507727.3125;6082882;3.44746;TRUE
"749";507722.21875;6082883;3.64505;TRUE
"750";507721.0625;6082883;3.63391;TRUE
"751";507719.25;6082881.5;3.46807;TRUE
"752";507719.34375;6082882.5;3.48038;TRUE
"753";507720.46875;6082883;3.46853;TRUE
"754";507723.9375;6082883;3.55543;TRUE
"755";507725.34375;6082883;3.55512;TRUE
"756";507725;6082883;3.58519;TRUE
"757";507726.53125;6082883;3.48021;TRUE
"758";507723.03125;6082883;3.69281;TRUE
"759";507730.3125;6082880;3.21353;TRUE
"760";507730.15625;6082881;3.23559;TRUE
"761";507729.90625;6082881.5;3.28628;TRUE
"881";507717.75;6082881.5;3.34514;TRUE
"882";507727.8125;6082883;3.41166;TRUE
"883";507728.09375;6082883;3.34502;TRUE
"884";507721.15625;6082884;3.64642;TRUE
"885";507722.6875;6082884;3.56941;TRUE
"886";507720.9375;6082884;3.41134;TRUE
"887";507718.3125;6082882.5;3.39379;TRUE
"888";507719.40625;6082883.5;3.5479;TRUE
"889";507718.84375;6082883;3.25728;TRUE
"890";507723.125;6082884;3.58791;TRUE
"891";507724.4375;6082884;3.4477;TRUE
"892";507725.875;6082883.5;3.43195;TRUE
"893";507725.0625;6082884;3.43107;TRUE
"894";507726.625;6082884;3.41629;TRUE
"895";507732.40625;6082880;3.02103;TRUE
"896";507730.875;6082881;3.11254;TRUE
"897";507730.21875;6082882;3.25573;TRUE
"898";507730.3125;6082882.5;3.14235;TRUE
"900";507733;6082880;3.00417;TRUE
"908";507716.09375;6082881.5;2.97689;TRUE
"909";507717.34375;6082882;3.19863;TRUE
"910";507716.625;6082882;3.06235;TRUE
"1024";507728.21875;6082883.5;3.27199;TRUE
"1025";507730.34375;6082883;3.06331;TRUE
"1026";507721.3125;6082885;3.38872;TRUE
"1027";507723.125;6082884.5;3.46424;TRUE
"1028";507719.5;6082884.5;3.26442;TRUE
"1029";507719.28125;6082884;3.23431;TRUE
"1030";507719.65625;6082885;3.23943;TRUE
"1031";507721.25;6082885;3.43635;TRUE
"1032";507717.46875;6082883;3.24859;TRUE
"1033";507717.53125;6082884;3.03623;TRUE
"1034";507717.5625;6082884;3.10976;TRUE
"1035";507723.21875;6082885;3.4334;TRUE
"1036";507724.84375;6082885;3.38354;TRUE
"1037";507726.34375;6082884.5;3.33551;TRUE
"1038";507725.15625;6082885;3.36094;TRUE
"1039";507726.71875;6082885;3.36514;TRUE
"1040";507728.25;6082884;3.36818;TRUE
"1041";507732.375;6082881;2.9781;TRUE
"1042";507731.40625;6082882;2.9987;TRUE
"1043";507731.84375;6082883;2.91786;TRUE
"1044";507733.8125;6082880.5;2.96795;TRUE
"1045";507734.9375;6082880;2.97555;TRUE
"1046";507733.5;6082881;2.90482;TRUE
"1053";507715.625;6082882;2.96645;TRUE
"1054";507717.125;6082883;3.04395;TRUE
"1055";507715.6875;6082883;2.98493;TRUE
"1073";507700.0625;6082883;2.94854;TRUE
"1074";507700;6082883;2.95497;TRUE
"1075";507701.75;6082883;2.96213;TRUE
"1085";507749.46875;6082878;2.67115;TRUE
"1086";507749.78125;6082878;2.71434;TRUE
"1092";507697.9375;6082883.5;2.99292;TRUE
"1093";507696.21875;6082884;3.08782;TRUE
"1094";507696.03125;6082884;3.11326;TRUE
"1166";507714.71875;6082882;2.82221;TRUE
"1170";507711.78125;6082882;2.46842;TRUE
"1171";507728.59375;6082884.5;3.18586;TRUE
"1172";507730.4375;6082884;2.97529;TRUE
"1173";507730.65625;6082883.5;2.93788;TRUE
"1174";507721.625;6082886;3.27728;TRUE
"1175";507717.875;6082885;3.09329;TRUE
"1176";507718.15625;6082886;3.04307;TRUE
"1177";507719.59375;6082885.5;3.22163;TRUE
"1178";507719.96875;6082886;3.27708;TRUE
"1179";507721.375;6082886;3.4273;TRUE
"1180";507716.0625;6082884.5;2.85179;TRUE
