XUTM,YUTM,EC 0-0.25 m
478416.09375,6309990.00000,12.52962
478415.40625,6309990.00000,12.43237
478416.18750,6309990.50000,12.46479
478416.15625,6309989.50000,12.03877
478415.37500,6309991.00000,12.64203
478414.81250,6309990.00000,12.58122
478415.40625,6309989.00000,11.79940
478415.84375,6309991.00000,12.69133
478416.25000,6309991.50000,12.61945
478418.46875,6309990.50000,11.62169
478418.37500,6309989.50000,10.45127
478416.28125,6309989.00000,11.39402
478415.37500,6309992.00000,12.73416
478414.75000,6309991.00000,12.81080
478413.53125,6309990.50000,13.05587
478413.53125,6309989.50000,12.66751
478416.15625,6309988.50000,10.90279
478415.43750,6309988.00000,10.81391
478414.46875,6309988.00000,11.39924
478415.65625,6309992.00000,12.79922
478418.59375,6309991.50000,12.32270
478416.34375,6309992.50000,12.72778
478419.12500,6309991.00000,11.79791
478419.18750,6309990.00000,10.66631
478419.18750,6309989.00000,9.20417
478418.31250,6309988.50000,9.27185
478416.43750,6309988.00000,9.91586
478414.87500,6309992.00000,12.92809
478413.53125,6309991.50000,13.16934
478412.31250,6309989.50000,12.92971
478412.34375,6309990.50000,13.02311
478413.53125,6309988.50000,12.27939
478412.31250,6309988.50000,12.68802
478416.18750,6309987.50000,9.83149
478414.43750,6309987.00000,10.43301
478415.43750,6309987.00000,9.67086
478413.56250,6309987.50000,11.28860
478415.34375,6309993.00000,12.76124
478418.78125,6309992.50000,12.65244
478418.96875,6309992.50000,12.85574
478420.15625,6309991.50000,12.02068
478416.50000,6309993.50000,12.74090
478415.46875,6309993.00000,12.81258
478420.15625,6309990.50000,10.97256
478420.12500,6309989.50000,9.47347
478420.06250,6309988.50000,7.96503
478419.21875,6309988.00000,7.94123
478418.31250,6309987.50000,7.92388
478416.62500,6309987.00000,8.60664
478413.50000,6309992.50000,13.13005
478413.50000,6309993.50000,12.96371
478412.37500,6309991.50000,13.01284
478411.50000,6309989.50000,13.12546
478411.50000,6309988.50000,13.06413
478411.50000,6309990.50000,13.14061
478412.28125,6309987.50000,12.22220
478411.50000,6309987.50000,12.86885
478416.18750,6309986.50000,8.67027
478414.40625,6309987.00000,10.29614
478414.43750,6309986.50000,9.15512
478415.46875,6309986.00000,8.62345
478412.25000,6309986.50000,11.56114
478413.56250,6309986.50000,10.34687
478419.03125,6309993.50000,12.78714
478420.25000,6309992.50000,12.65466
478420.37500,6309993.50000,12.89041
478420.84375,6309991.50000,12.32216
478420.87500,6309990.50000,11.30673
478419.03125,6309993.50000,12.88808
478416.71875,6309994.50000,12.68639
478413.50000,6309994.50000,12.79179
478420.87500,6309989.50000,9.79611
478420.87500,6309988.50000,8.15062
478420.90625,6309987.50000,6.55028
478420.06250,6309987.50000,6.69106
478419.25000,6309987.00000,6.52036
478418.31250,6309986.50000,6.66201
478416.84375,6309986.00000,7.38933
478412.46875,6309992.50000,12.93222
478412.56250,6309993.50000,12.77576
478411.50000,6309991.50000,13.09051
478410.68750,6309990.00000,13.09900
478410.62500,6309989.00000,13.08098
478410.62500,6309988.00000,13.04979
478410.78125,6309991.00000,13.03503
478411.50000,6309986.50000,12.43685
478410.62500,6309987.00000,12.91635
478416.21875,6309985.50000,7.61664
478414.40625,6309986.00000,9.21852
478414.43750,6309985.50000,8.40340
478415.50000,6309985.00000,7.73654
478412.25000,6309985.50000,10.92178
478411.53125,6309985.50000,11.88065
478413.56250,6309985.50000,9.64200
478420.84375,6309992.50000,13.01703
478419.31250,6309994.50000,12.79230
478420.56250,6309994.50000,12.88039
478420.84375,6309993.50000,13.08848
478421.71875,6309992.00000,12.61155
478421.68750,6309991.00000,11.85647
478421.65625,6309990.00000,10.49933
478418.96875,6309994.50000,12.77706
478417.03125,6309995.50000,12.55441
478417.37500,6309996.50000,12.42151
478412.71875,6309994.50000,12.64409
478421.65625,6309989.00000,8.88858
478421.65625,6309988.00000,7.19185
478421.65625,6309987.00000,5.69712
478420.90625,6309986.50000,5.39007
478420.06250,6309986.50000,5.42676
478419.28125,6309986.00000,5.36543
478418.31250,6309985.50000,5.54967
478417.03125,6309985.00000,6.35830
478411.50000,6309992.50000,12.97694
478411.50000,6309993.50000,12.80182
