ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus
2	648735.31	6132606.73	12.342	16.327	48.939	22.392	2.334
4	648720.94	6132611.03	13.242	16.819	47.543	22.396	2.419
6	648706.57	6132615.33	12.539	16.140	49.358	21.963	2.368
8	648692.20	6132619.63	13.046	14.282	49.557	23.115	2.419
10	648677.83	6132623.92	11.329	17.326	46.879	24.467	2.283
12	648663.46	6132628.22	11.921	16.713	48.850	22.516	2.215
14	648649.09	6132632.52	12.455	17.621	43.514	26.410	2.470
16	648634.72	6132636.82	12.550	16.838	48.317	22.295	2.453
18	648620.34	6132641.11	11.132	16.143	48.132	24.593	2.232
21	648605.97	6132645.41	11.725	16.218	46.384	25.673	2.181
48	648723.83	6132594.51	11.733	15.547	49.967	22.753	2.249
50	648709.46	6132598.81	13.620	13.665	51.704	21.011	2.266
52	648695.09	6132603.11	11.833	16.821	49.539	21.807	2.283
54	648680.72	6132607.40	13.747	14.279	50.705	21.269	2.470
56	648666.35	6132611.70	11.925	16.719	44.725	26.631	2.249
58	648651.97	6132616.00	13.713	14.244	49.955	22.088	2.232
60	648637.60	6132620.30	12.530	15.447	50.285	21.739	2.300
62	648623.23	6132624.59	14.334	15.043	49.468	21.154	2.419
66	648608.86	6132628.89	11.849	16.845	46.845	24.461	2.419
90	648733.90	6132575.84	11.719	16.209	46.890	25.182	2.129
92	648719.53	6132580.14	11.723	14.852	49.831	23.594	2.164
94	648705.16	6132584.44	11.752	16.254	47.630	24.364	2.402
96	648690.79	6132588.73	11.754	16.257	46.890	25.099	2.419
98	648676.42	6132593.03	11.667	17.731	46.769	23.833	2.487
100	648662.05	6132597.33	10.548	17.454	48.557	23.442	2.385
102	648647.68	6132601.63	11.894	16.676	45.883	25.548	1.993
104	648633.31	6132605.92	13.130	14.852	50.185	21.834	2.317
106	648618.93	6132610.22	11.942	19.474	44.894	23.690	2.385
110	648604.56	6132614.52	11.812	15.430	48.816	23.942	2.112
135	648729.61	6132561.47	11.539	15.727	49.485	23.250	2.198
137	648715.24	6132565.77	13.623	12.985	49.773	23.619	2.283
139	648700.86	6132570.07	11.549	16.423	48.769	23.259	2.283
141	648686.49	6132574.36	11.756	16.260	48.545	23.439	2.436
143	648672.12	6132578.66	11.948	17.435	46.423	24.195	2.436
145	648657.75	6132582.96	13.148	15.556	49.691	21.605	2.453
147	648643.38	6132587.26	11.965	18.143	46.055	23.837	2.572
149	648629.01	6132591.55	13.132	16.903	47.657	22.309	2.334
151	648614.64	6132595.85	11.825	16.810	46.518	24.848	2.215
179	648725.31	6132547.10	12.487	15.393	49.942	22.179	1.959
181	648710.94	6132551.40	12.469	15.372	49.305	22.854	1.823
183	648696.57	6132555.69	12.465	16.045	48.834	22.656	1.789
185	648682.20	6132559.99	13.848	16.698	46.192	23.261	1.789
187	648667.82	6132564.29	13.084	16.161	49.989	20.766	1.976
189	648653.45	6132568.59	12.208	16.371	50.208	21.213	2.027
191	648639.08	6132572.88	15.571	18.660	46.461	19.308	2.624
193	648624.71	6132577.18	15.434	23.672	42.547	18.347	2.828
195	648610.34	6132581.48	13.005	17.642	44.212	25.140	2.112
221	648735.38	6132528.43	10.491	16.001	49.687	23.821	1.857
223	648721.01	6132532.73	10.500	16.695	49.433	23.373	1.942
225	648706.64	6132537.03	13.568	13.612	50.009	22.810	1.891
227	648692.27	6132541.32	12.635	14.885	48.250	24.229	1.891
229	648677.90	6132545.62	14.385	14.214	48.572	22.829	2.095
231	648663.53	6132549.92	12.991	14.222	50.628	22.159	2.010
233	648649.16	6132554.22	12.414	14.838	49.811	22.938	2.147
235	648634.78	6132558.51	13.028	17.673	45.396	23.903	2.283
