ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus
1	507658.10	6083051.50	4.745	3.476	15.235	76.544	3.135
2	507673.04	6083050.14	4.622	3.489	13.293	78.596	2.981
3	507687.98	6083048.78	4.644	3.402	12.806	79.148	3.049
4	507702.92	6083047.43	4.676	3.425	13.180	78.719	3.390
5	507717.86	6083046.07	4.169	3.428	17.868	74.535	2.828
6	507732.79	6083044.71	4.755	3.886	12.615	78.744	2.879
7	507747.73	6083043.35	4.696	3.440	12.448	79.416	2.743
8	507762.67	6083041.99	4.733	3.362	15.621	76.284	2.964
9	507761.24	6083027.06	4.672	3.928	12.436	78.963	3.032
10	507746.30	6083028.41	4.655	4.418	13.945	76.981	2.930
11	507731.36	6083029.77	4.640	3.901	13.854	77.605	3.288
12	507716.42	6083031.13	4.612	3.482	15.146	76.761	2.606
13	507701.49	6083032.49	4.707	3.448	16.117	75.728	3.135
14	507686.55	6083033.85	4.612	3.482	11.756	80.150	2.964
15	507671.61	6083035.21	4.615	3.484	12.510	79.391	2.641
16	507656.67	6083036.57	4.625	3.492	13.694	78.189	2.521
17	507655.24	6083021.64	4.684	3.431	13.662	78.222	2.828
18	507670.18	6083020.28	4.688	3.434	14.032	77.847	2.828
19	507685.11	6083018.92	4.689	3.434	14.263	77.614	2.947
20	507700.05	6083017.56	4.683	3.430	14.434	77.452	2.777
21	507714.99	6083016.20	4.177	3.434	12.689	79.700	2.658
22	507729.93	6083014.84	4.692	3.437	11.537	80.334	2.964
23	507744.87	6083013.48	5.169	3.515	12.297	79.020	2.794
24	507759.81	6083012.12	4.675	3.930	11.250	80.145	3.015
25	507758.37	6082997.19	4.625	3.492	14.735	77.148	3.032
26	507743.43	6082998.55	4.658	3.916	10.982	80.445	2.504
27	507728.50	6082999.91	5.121	3.482	11.200	80.197	3.118
28	507713.56	6083001.27	4.591	3.466	13.555	78.387	2.845
29	507698.62	6083002.63	4.680	3.428	10.990	80.902	2.743
30	507683.68	6083003.99	4.226	4.757	11.763	79.255	2.589
31	507668.74	6083005.35	4.230	4.761	12.565	78.445	2.862
32	507653.80	6083006.71	4.168	3.933	12.695	79.203	3.186
33	507652.37	6082991.78	4.145	3.911	13.138	78.806	3.152
34	507667.31	6082990.42	4.157	3.417	14.122	78.304	2.845
35	507682.25	6082989.06	4.217	4.369	14.596	76.817	3.322
36	507697.19	6082987.70	4.145	3.911	12.084	79.859	3.220
37	507712.13	6082986.34	4.158	3.419	14.307	78.116	2.641
38	507727.06	6082984.98	4.681	3.935	12.688	78.695	3.152
39	507742.00	6082983.62	4.223	4.376	15.001	76.400	3.271
40	507756.94	6082982.26	4.691	4.452	13.836	77.021	3.152
41	507755.51	6082967.33	4.194	4.848	13.921	77.037	3.049
42	507740.57	6082968.69	4.180	4.452	14.664	76.704	3.203
43	507725.63	6082970.05	4.207	4.359	12.984	78.449	2.998
44	507710.69	6082971.41	4.041	3.536	13.702	78.721	2.845
45	507695.75	6082972.77	3.653	3.927	13.213	79.207	2.658
46	507680.82	6082974.13	3.660	3.429	13.455	79.457	2.692
47	507665.88	6082975.49	4.157	3.923	16.359	75.562	3.305
48	507650.94	6082976.85	3.749	3.908	16.217	76.126	3.186
49	507649.51	6082961.91	4.263	3.396	13.487	78.854	3.560
50	507664.44	6082960.55	4.677	3.426	15.563	76.334	3.629
51	507679.38	6082959.20	3.657	3.932	17.247	75.164	2.538
52	507694.32	6082957.84	3.678	3.445	18.301	74.576	2.658
53	507709.26	6082956.48	3.663	3.431	14.063	78.843	2.351
54	507724.20	6082955.12	3.663	3.431	15.814	77.091	3.015
55	507739.14	6082953.76	4.183	3.947	15.192	76.678	2.521
56	507754.07	6082952.40	4.168	3.933	19.043	72.857	3.135
57	507752.64	6082937.47	4.204	3.967	19.459	72.369	3.271
58	507737.70	6082938.83	3.669	4.451	15.361	76.519	2.845
59	507722.77	6082940.18	4.217	3.980	15.255	76.548	3.407
60	507707.83	6082941.54	3.688	3.455	15.584	77.273	3.237
61	507692.89	6082942.90	3.662	3.937	14.290	78.111	2.572
62	507677.95	6082944.26	4.132	4.015	15.533	76.320	2.845
63	507663.01	6082945.62	4.210	3.462	13.109	79.219	3.595
64	507648.07	6082946.98	4.151	3.010	13.437	79.402	3.118
65	507646.64	6082932.05	4.717	3.966	13.272	78.044	3.509
66	507661.58	6082930.69	5.223	3.959	14.101	76.716	3.407
67	507676.52	6082929.33	4.188	3.952	15.803	76.057	3.356
68	507691.46	6082927.97	3.741	3.900	16.742	75.617	3.135
69	507706.39	6082926.61	3.734	3.892	17.903	74.471	2.845
70	507721.33	6082925.25	4.730	3.977	16.684	74.610	3.254
71	507736.27	6082923.89	4.202	3.965	18.394	73.439	4.242
72	507751.21	6082922.53	4.222	3.984	22.061	69.733	3.322
73	507749.78	6082907.60	4.211	3.973	21.620	70.196	3.390
74	507734.84	6082908.96	4.227	4.502	17.987	73.284	3.492
75	507719.90	6082910.32	4.248	4.911	21.287	69.554	3.509
76	507704.96	6082911.68	3.687	3.964	17.807	74.543	3.083
77	507690.02	6082913.04	4.199	3.962	18.884	72.955	3.560
78	507675.08	6082914.40	4.273	3.915	16.155	75.656	3.697
79	507660.15	6082915.76	4.805	3.927	12.796	78.472	3.884
80	507645.21	6082917.12	5.136	3.493	13.139	78.232	3.305
81	507643.77	6082902.19	5.192	3.531	14.160	77.117	3.629
82	507658.71	6082900.83	4.726	3.974	16.812	74.488	3.629
83	507673.65	6082899.47	4.247	4.008	22.709	69.036	3.782
