ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0063;T_0063_0125;T_0125_0200;T_0200_0500;T_0500_2000;SOM;SOC
1;504326;6148833;9.16;11.39;10.9;2.45;9.89;12.2;34.99;9.03;5.09;2.99
2;504341;6148833.714;10.3;9.39;17.7;2.55;8.13;11.38;32.67;7.88;8.57;5.03
3;504356;6148834.429;9.47;9.27;16.78;2.72;8.59;10.17;31.51;11.49;6.63;3.89
4;504371;6148835.143;7.21;8.12;14.52;2.42;8.43;12.64;37.19;9.48;5.42;3.18
5;504386;6148835.857;5.7;7.25;7.44;1.87;8.09;13.37;46.75;9.54;3.53;2.07
6;504401;6148836.571;6.76;8.27;9.31;1.85;7.62;11.92;44.73;9.53;3.53;2.07
7;504416;6148837.286;10.69;12.68;12.32;2.54;8.43;11.46;33.77;8.1;3.71;2.18
8;504327;6148848;10.02;10.61;14.99;3.1;9.8;11.95;33.86;5.66;10.32;6.06
9;504342;6148848.714;15.32;13.29;17.2;2.65;8.63;9.39;25.94;7.59;14.34;8.42
10;504357;6148849.429;12.67;13.04;17.14;3.36;10;11.04;26.63;6.13;12.47;7.32
11;504372;6148850.143;7.93;9.93;13.86;3.23;9.65;12.12;35.42;7.85;7.61;4.47
12;504387;6148850.857;8.43;9.4;8.01;2.32;7.36;12.9;43.88;7.69;4.65;2.73
13;504402;6148851.571;11.32;12.25;7.9;2.72;9.25;11.79;36.44;8.32;4.57;2.68
14;504417;6148852.286;11.83;14.12;11.27;2.55;8.38;14.21;30.72;6.93;3.63;2.13
15;504328;6148863;9.85;10.05;19.15;3.44;8.4;10.69;30.97;7.45;9.54;5.6
16;504343;6148863.714;12;14.09;16.57;2.71;9.45;10.78;27.36;7.04;11.86;6.96
17;504358;6148864.429;12.82;12.77;17.08;2.35;8.63;10.98;27.74;7.63;6.2;3.64
18;504373;6148865.143;11.25;12.68;16.92;2.79;9.71;11.82;27.66;7.18;5.95;3.49
19;504388;6148865.857;10.72;13.4;11.74;2.7;8.92;12.04;32.23;8.25;4.63;2.72
20;504403;6148866.571;11.32;14.16;10.8;2.41;7.95;13.87;31.24;8.24;3.87;2.27
21;504418;6148867.286;13.59;15.98;14.96;3.19;10.55;10.9;25.14;5.69;3.63;2.13
22;504329;6148878;9.03;9.38;17.95;3.35;9.24;11.27;32.33;7.45;7.63;4.48
23;504344;6148878.714;11.21;11.36;17.61;2.47;9.57;11.34;28.62;7.82;6.95;4.08
24;504359;6148879.429;12.38;13.25;17.97;3.36;9.15;11.37;26.93;5.6;6.34;3.72
25;504374;6148880.143;13.15;15.25;11.34;2.78;9.44;10.63;29.3;8.1;4.96;2.91
26;504389;6148880.857;10.29;11.62;13.96;2.56;8.43;11.65;34.03;7.45;4.16;2.44
27;504404;6148881.571;12.42;14.17;13.52;2.91;9.23;11.99;28.36;7.41;4.11;2.41
28;504419;6148882.286;14.54;15.49;12.93;2.79;9.86;11.22;26.32;6.87;3.42;2.01
29;504330;6148893;10.03;12.16;18.62;2.79;9.8;11.07;28.4;7.13;5.35;3.14
30;504345;6148893.714;11.22;12.65;16.96;4.62;10.12;11.82;27.38;5.23;5.74;3.37
31;504360;6148894.429;14.7;15.85;14.02;2.63;9.26;10.43;26.71;6.4;5.08;2.98
32;504375;6148895.143;12.25;14.34;12.92;2.69;10.06;11.73;29.32;6.7;4.09;2.4
33;504390;6148895.857;10.08;11.72;10.52;3.11;9.24;12.17;35.27;7.9;3.65;2.14
34;504405;6148896.571;13.4;15.1;11.86;2.82;10.06;11.04;28.76;6.95;3.51;2.06
35;504420;6148897.286;12.98;15.06;13.39;3.28;11.06;12.06;26.91;5.26;3.71;2.18
36;504331;6148908;11.97;14.63;12.18;2.88;9.4;10.33;30.88;7.74;4.12;2.42
37;504346;6148908.714;13.09;16.22;12.5;2.9;9.31;9.65;27.69;8.64;4.48;2.63
38;504361;6148909.429;13.59;16.7;10.48;2.62;9.4;12.07;28.53;6.61;4.26;2.5
39;504376;6148910.143;11.25;13.73;10.88;3.26;10.66;12.03;31;7.19;3.94;2.31
40;504391;6148910.857;12.76;14.12;13.18;2.58;9;10.82;29.2;8.34;3.27;1.92
41;504406;6148911.571;12.81;15.04;12.87;2.78;8.69;10.91;28.77;8.12;3.07;1.8
42;504421;6148912.286;13.43;14.95;12.04;2.82;10.85;11.59;27.94;6.38;3.08;1.81
43;504392;6148925.857;12.96;15.03;13.94;3.06;9.56;10.21;27.87;7.36;3.56;2.09
44;504407;6148926.571;13.91;15.05;13.25;2.8;9.62;9.92;26.21;9.25;3.3;1.94
45;504422;6148927.286;12.75;13.08;14.66;2.64;9.91;10.66;28.15;8.16;3.2;1.88
