ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0063;T_0063_0125;T_0125_0200;T_0200_0500;T_0500_2000;SOM;SOC
2;648735.31;6132606.73;12.34;16.33;6.62;6.51;19.49;16.31;15.75;6.64;2.33;1.37
4;648720.94;6132611.03;13.24;16.82;5.56;6.72;19.41;15.86;15.98;6.42;2.42;1.42
6;648706.57;6132615.33;12.54;16.14;10.99;4.56;18.82;15;15.07;6.89;2.37;1.39
8;648692.2;6132619.63;13.05;14.28;9.79;6.01;19.14;14.62;16.46;6.65;2.42;1.42
10;648677.83;6132623.92;11.33;17.33;9.88;4.47;18.17;14.37;16.84;7.63;2.28;1.34
12;648663.46;6132628.22;11.92;16.71;7.43;5.23;19.36;16.83;16.26;6.26;2.21;1.3
14;648649.09;6132632.52;12.45;17.62;8.39;4.5;16.91;13.71;17.62;8.79;2.47;1.45
16;648634.72;6132636.82;12.55;16.84;10.53;4.86;17.02;15.9;15.95;6.34;2.45;1.44
18;648620.34;6132641.11;11.13;16.14;9.54;3.63;19.04;15.93;17.51;7.08;2.23;1.31
21;648605.97;6132645.41;11.73;16.22;8.39;5.08;18.56;14.35;17.88;7.8;2.18;1.28
48;648723.83;6132594.51;11.73;15.55;10.26;4.04;20.43;15.24;15.63;7.12;2.25;1.32
50;648709.46;6132598.81;13.62;13.66;10.78;5.12;20.61;15.2;14.86;6.15;2.27;1.33
52;648695.09;6132603.11;11.83;16.82;8.46;5.96;20.51;14.61;15.7;6.1;2.28;1.34
54;648680.72;6132607.4;13.75;14.28;9.67;6.4;19.53;15.11;15.58;5.69;2.47;1.45
56;648666.35;6132611.7;11.92;16.72;8.21;4.07;18.5;13.94;19.69;6.94;2.25;1.32
58;648651.97;6132616;13.71;14.24;10.56;4.65;19.26;15.49;15.54;6.55;2.23;1.31
60;648637.6;6132620.3;12.53;15.45;8.26;6.69;19.75;15.58;15.96;5.78;2.3;1.35
62;648623.23;6132624.59;14.33;15.04;8.46;6.58;19.26;15.17;14.81;6.35;2.42;1.42
66;648608.86;6132628.89;11.85;16.84;7.6;4.26;20.16;14.82;18;6.46;2.42;1.42
90;648733.9;6132575.84;11.72;16.21;7.34;4.38;20.21;14.96;18.45;6.74;2.13;1.25
92;648719.53;6132580.14;11.72;14.85;7.98;6.34;20.52;15;16.75;6.84;2.16;1.27
94;648705.16;6132584.44;11.75;16.25;6.62;6.18;17.45;17.38;16.95;7.41;2.4;1.41
96;648690.79;6132588.73;11.75;16.26;9.01;5.64;19.7;12.53;17.22;7.88;2.42;1.42
98;648676.42;6132593.03;11.67;17.73;6.17;6.57;18.91;15.11;16.13;7.7;2.49;1.46
100;648662.05;6132597.33;10.55;17.45;7.24;6.1;20.43;14.79;16.99;6.46;2.39;1.4
102;648647.68;6132601.63;11.89;16.68;8.31;6.14;19.83;11.61;18.89;6.65;1.99;1.17
104;648633.31;6132605.92;13.13;14.85;11.36;4.21;18.62;16;15.27;6.56;2.32;1.36
106;648618.93;6132610.22;11.94;19.47;6.26;4.18;19.8;14.65;17.64;6.05;2.39;1.4
110;648604.56;6132614.52;11.81;15.43;6.43;4.81;20.36;17.22;17.51;6.43;2.11;1.24
135;648729.61;6132561.47;11.54;15.73;7.28;5.95;20.3;15.95;16.63;6.62;2.2;1.29
137;648715.24;6132565.77;13.62;12.98;10.26;4.74;19.45;15.32;16.22;7.4;2.28;1.34
139;648700.86;6132570.07;11.55;16.42;8.66;4.89;18.65;16.57;16.83;6.43;2.28;1.34
141;648686.49;6132574.36;11.76;16.26;7.56;5.24;17.69;18.06;16.51;6.93;2.44;1.43
143;648672.12;6132578.66;11.95;17.43;8.5;4.94;18.45;14.53;16.48;7.71;2.44;1.43
145;648657.75;6132582.96;13.15;15.56;8.56;6.38;19.55;15.2;15.59;6.01;2.45;1.44
147;648643.38;6132587.26;11.96;18.14;7.32;4.15;19.75;14.83;17.94;5.9;2.57;1.51
149;648629.01;6132591.55;13.13;16.9;10.56;5.77;19.14;12.18;15.58;6.73;2.33;1.37
151;648614.64;6132595.85;11.82;16.81;8.96;3.96;19.42;14.18;18.02;6.82;2.21;1.3
179;648725.31;6132547.1;12.49;15.39;9.1;6.02;19.17;15.65;15.4;6.78;1.96;1.15
181;648710.94;6132551.4;12.47;15.37;8.83;6.15;19.4;14.92;15.1;7.75;1.82;1.07
183;648696.57;6132555.69;12.46;16.05;9.87;4.7;18.44;15.83;15.99;6.67;1.79;1.05
185;648682.2;6132559.99;13.85;16.7;8.26;4.76;17.26;15.91;16.95;6.31;1.79;1.05
187;648667.82;6132564.29;13.08;16.16;8.31;6.17;19.88;15.62;14.79;5.98;1.98;1.16
189;648653.45;6132568.59;12.21;16.37;8.16;5.55;20.77;15.73;15.04;6.18;2.03;1.19
191;648639.08;6132572.88;15.57;18.66;11.05;4.37;16.88;14.15;14.49;4.82;2.62;1.54
193;648624.71;6132577.18;15.43;23.67;8;5.52;16.12;12.92;13.78;4.57;2.83;1.66
195;648610.34;6132581.48;13.01;17.64;7.26;3.96;18.22;14.77;17.77;7.37;2.11;1.24
