ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0063;T_0063_0125;T_0125_0200;T_0200_0500;T_0500_2000;SOM;SOC
1;478400.99;6309815.33;15.29;16.48;15.06;4.75;14.97;9.7;16.36;7.38;3.49;2.05
2;478415.99;6309815.33;15.39;16.37;14.36;5.71;15.43;9.1;16.99;6.65;3.44;2.02
3;478430.99;6309815.33;14.7;17.08;14.32;5.09;16.15;9.3;16.98;6.38;3.51;2.06
4;478445.99;6309815.33;14.79;17.66;14.28;4.85;15.92;9.24;16.49;6.77;3.46;2.03
5;478460.99;6309815.33;14.68;17.76;13.66;4.38;15.43;9.98;17.37;6.73;3.42;2.01
6;478400.24;6309830.33;15.39;17.06;14.9;5.46;14.91;8.43;16.49;7.35;3.46;2.03
7;478415.24;6309830.33;15.39;17.06;15.04;5.01;15.47;9.36;16.35;6.32;3.44;2.02
8;478430.24;6309830.33;14.78;17.65;14.58;5.4;15.47;9.21;16.55;6.34;3.41;2
9;478445.24;6309830.33;15.41;17.09;12.73;7.33;15.35;9.82;16.6;5.67;3.59;2.11
10;478460.24;6309830.33;15.49;16.95;14.46;4.94;14.81;9.31;17.25;6.79;3.41;2
11;478399.49;6309845.33;15.5;16.27;16.35;4.35;15.49;10.09;16.45;5.51;3.46;2.03
12;478414.49;6309845.33;15.6;16.85;13.59;6.7;15.2;8.39;16.4;7.28;3.44;2.02
13;478429.49;6309845.33;15.98;16.45;15.26;5.24;15.87;9.11;16.15;5.93;3.39;1.99
14;478444.49;6309845.33;16.2;16.94;15.14;5.04;14.72;8.23;16.63;7.09;3.44;2.02
15;478459.49;6309845.33;15.51;16.29;12.73;7.45;15.54;9.52;16.53;6.42;3.56;2.09
16;478398.74;6309860.33;15.52;16.98;15.7;4.88;14.3;8.19;17.59;6.84;3.59;2.11
17;478413.74;6309860.33;14.79;17.67;16.85;5.88;14.17;9.12;16.01;5.52;3.48;2.04
18;478428.74;6309860.33;14.91;16.88;13.28;7.43;15.63;9.17;16.67;6.03;3.53;2.07
19;478443.74;6309860.33;14.76;16.93;16.28;4.92;16.47;9.09;15.6;5.95;3.24;1.9
20;478458.74;6309860.33;14.76;16.93;13.29;6.96;15.11;9.34;16.33;7.27;3.24;1.9
21;478397.98;6309875.33;14.89;17.56;15.15;5.09;15.62;8.9;17.13;5.66;3.46;2.03
22;478412.98;6309875.33;14.78;16.96;13.32;7.69;14.48;9.84;15.98;6.96;3.37;1.98
23;478427.98;6309875.33;14.87;18.22;15.15;4.99;15.93;8.97;16.2;5.67;3.3;1.94
24;478442.98;6309875.33;15.47;17.62;12.22;7.75;15.57;9.26;16.13;5.99;3.27;1.92
25;478457.98;6309875.33;15.46;17.61;15.26;5.06;15.04;8.66;15.85;7.04;3.25;1.91
26;478397.23;6309890.33;14.92;17.59;13.14;7.34;15.45;9.32;16.48;5.75;3.63;2.13
27;478412.23;6309890.33;14.78;17.65;15.01;5.56;15.44;9.61;16.25;5.71;3.37;1.98
28;478427.23;6309890.33;15.51;16.97;14.93;6.27;14.78;9.38;16.82;5.34;3.53;2.07
29;478442.23;6309890.33;16.79;16.34;13.76;6.17;15.61;8.72;16.39;6.22;3.42;2.01
30;478457.23;6309890.33;15.96;15.74;16.28;4.36;15.82;8.94;17.05;5.86;3.25;1.91
31;478396.47;6309905.33;17.54;15.68;14.46;7.15;14.98;9.12;15.61;5.46;3.68;2.16
32;478411.47;6309905.33;17.55;17.77;14.92;4.78;16.68;8.79;14.93;4.58;3.75;2.2
33;478426.47;6309905.33;16.71;17.16;11.98;7.72;15.11;9.57;15.84;5.9;3.54;2.08
34;478441.47;6309905.33;16.68;17.13;13.88;5.52;15.07;9.29;16.18;6.25;3.37;1.98
35;478456.47;6309905.33;16.67;17.12;13.6;7.14;15.23;8.98;15.46;5.79;3.32;1.95
36;478395.72;6309920.33;19.66;18.42;15.31;4.99;14.61;7.74;13.88;5.4;3.7;2.17
37;478410.72;6309920.33;18.23;18.42;12.92;7;14.11;8.5;14.47;6.34;3.59;2.11
38;478425.72;6309920.33;17.37;17.8;15.25;4.23;15.23;7.93;16.41;5.78;3.34;1.96
39;478440.72;6309920.33;16.65;17.1;13.73;7.18;15.44;9.04;15.08;5.77;3.22;1.89
40;478455.72;6309920.33;17.3;16.56;14.51;4.75;16.89;8.52;15.14;6.33;3.54;2.08
41;478394.97;6309935.33;19.57;18.33;15.33;4.21;13.81;8.43;13.49;6.83;3.25;1.91
42;478409.97;6309935.33;18.84;16.94;13.02;7.13;13.89;8.66;14.62;6.89;3.12;1.83
43;478424.97;6309935.33;18.2;17.7;15.35;4.97;14.81;7.98;14.2;6.79;3.42;2.01
44;478439.97;6309935.33;17.59;16.9;13.05;7.92;15.08;8.96;14.92;5.57;3.37;1.98
45;478454.97;6309935.33;16.73;16.97;13.96;6.35;15.38;8.49;14.83;7.28;3.08;1.81
46;478394.21;6309950.33;17.44;16.97;15.6;5.14;14.68;8.4;14.76;7.01;3.12;1.83
47;478409.21;6309950.33;17.44;16.96;12.76;6.4;14.35;10.16;15.68;6.24;3.1;1.82
48;478424.21;6309950.33;17.61;18.31;14.68;5.46;15.02;8.4;14.54;5.99;3.49;2.05
49;478439.21;6309950.33;16.78;17.02;13;7.31;15.09;9.04;14.93;6.84;3.34;1.96
50;478454.21;6309950.33;17.29;16.35;14.22;4.84;15.63;8.84;15.2;7.63;2.9;1.7
51;478393.46;6309965.33;19.04;18.76;12.56;7.44;14.01;8.32;13.78;6.08;3.02;1.77
52;478408.46;6309965.33;15.03;21.39;11.67;4.84;15.2;9.1;15.15;7.61;2.98;1.75
53;478423.46;6309965.33;16.65;15.72;13.98;6.36;14.67;8.55;15.03;9.04;3.22;1.89
54;478438.46;6309965.33;16.77;17.01;11.78;7.03;14.71;9.49;15.78;7.42;3.3;1.94
55;478453.46;6309965.33;17.41;16.94;13.36;4.72;14.67;8.74;15.89;8.26;2.98;1.75
56;478392.71;6309980.33;19.55;18.32;12.54;6.65;13.71;7.71;13.31;8.21;3.19;1.87
57;478407.71;6309980.33;17.33;17.07;13.68;4.89;14.22;8.09;15.53;9.2;3.1;1.82
58;478422.71;6309980.33;15.04;14.56;9.5;5.85;13.61;8.36;19.12;13.97;3.13;1.84
59;478437.71;6309980.33;17.16;14.56;12.25;6.65;14.71;9.15;17.05;8.47;3.32;1.95
60;478452.71;6309980.33;17.99;15.65;13.54;4.9;14.7;8.62;16.17;8.43;2.91;1.71
