ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0200;T_0200_2000;SOM;SOC
1;534962.12;6247748.20;11.03;11.77;17.82;27.89;31.50;5.70;3.35
3;534956.42;6247767.40;9.38;13.40;13.61;27.73;35.98;3.00;1.76
5;534950.62;6247786.50;10.84;14.83;10.33;26.18;37.93;2.20;1.29
7;534944.92;6247805.70;11.75;11.85;12.77;27.99;35.75;2.10;1.23
9;534939.22;6247824.80;11.25;11.76;12.88;28.94;35.17;2.20;1.29
11;534933.42;6247844.00;9.72;11.36;11.77;22.72;44.52;2.30;1.35
13;534927.72;6247863.10;11.24;11.75;9.40;25.43;42.19;2.10;1.23
15;534922.02;6247882.30;7.68;11.89;10.14;26.64;43.65;2.40;1.41
17;534916.22;6247901.40;7.58;11.89;8.50;27.25;44.77;2.40;1.41
19;534910.52;6247920.60;8.18;10.22;9.20;24.03;48.26;2.20;1.29
21;534904.82;6247939.70;8.18;9.82;10.84;26.07;45.19;2.20;1.29
23;534899.02;6247958.90;8.17;9.81;11.64;29.01;41.37;2.10;1.23
25;534893.32;6247978.00;9.06;9.27;9.06;25.87;46.64;1.80;1.06
27;534887.62;6247997.10;8.04;8.86;8.96;29.53;44.60;1.80;1.06
29;534981.32;6247754.00;10.53;13.73;14.96;29.10;31.68;3.10;1.82
31;534975.52;6247773.10;10.24;12.28;14.64;27.33;35.52;2.30;1.35
33;534969.82;6247792.30;11.75;11.24;14.61;27.27;35.04;2.10;1.23
35;534964.12;6247811.40;13.27;12.35;13.57;22.45;38.47;2.00;1.17
37;534958.32;6247830.60;11.84;12.24;12.86;28.06;35.10;2.00;1.17
39;534952.62;6247849.70;10.84;13.29;13.19;25.15;37.53;2.20;1.29
41;534946.92;6247868.90;9.22;11.37;9.63;23.87;45.90;2.40;1.41
43;534941.12;6247888.00;8.21;12.82;10.15;25.85;42.87;2.50;1.47
45;534935.42;6247907.10;8.21;12.10;13.23;27.79;38.56;2.50;1.47
47;534929.72;6247926.30;8.70;10.34;11.05;27.23;42.68;2.30;1.35
49;534923.92;6247945.40;9.19;10.73;9.60;24.72;45.76;2.10;1.23
51;534918.22;6247964.60;8.59;9.41;13.29;22.19;46.63;2.20;1.29
53;534912.52;6247983.70;8.07;9.81;10.52;28.19;43.31;2.10;1.23
55;534906.72;6248002.90;8.04;8.35;13.34;24.24;46.13;1.80;1.06
57;535000.42;6247759.70;9.32;12.30;14.45;29.20;34.73;2.40;1.41
59;534994.72;6247778.90;11.16;12.38;14.02;28.66;33.78;2.30;1.35
61;534988.92;6247798.00;10.84;11.76;14.72;27.81;34.87;2.20;1.29
63;534983.22;6247817.20;11.73;11.84;13.37;27.04;36.02;2.00;1.17
65;534977.52;6247836.30;11.34;12.26;14.40;28.91;33.20;2.10;1.23
67;534971.72;6247855.40;11.26;12.79;12.38;27.23;36.23;2.30;1.35
69;534966.02;6247874.60;9.24;10.88;12.42;25.36;42.20;2.60;1.53
71;534960.32;6247893.70;7.41;15.03;13.15;28.81;35.49;4.20;2.47
73;534954.52;6247912.90;7.40;14.08;9.80;23.98;44.73;4.10;2.41
75;534948.82;6247932.00;8.19;12.28;9.62;30.50;39.41;2.30;1.35
77;534943.12;6247951.20;8.97;7.85;8.97;29.36;44.85;1.90;1.12
79;534937.32;6247970.30;9.07;7.24;11.11;27.32;45.16;1.90;1.12
81;534931.62;6247989.50;9.19;10.32;8.89;28.50;43.21;2.10;1.23
83;534925.92;6248008.60;9.59;10.82;11.84;22.96;44.69;2.00;1.17
87;535019.52;6247765.50;9.71;10.84;15.24;32.41;31.90;2.20;1.29
89;535013.82;6247784.60;11.87;12.79;13.92;29.58;31.93;2.30;1.35
91;535008.12;6247803.70;10.84;12.68;14.31;27.51;34.66;2.20;1.29
93;535002.32;6247822.90;9.71;12.88;12.37;25.97;39.16;2.20;1.29
95;534996.62;6247842.00;10.74;11.35;13.91;28.94;35.07;2.20;1.29
99;534990.92;6247861.20;11.37;12.81;13.63;23.26;39.04;2.40;1.41
101;534985.12;6247880.30;8.23;11.32;14.40;24.59;41.46;2.80;1.64
103;534979.42;6247899.50;10.66;10.21;15.38;26.15;37.71;10.90;6.40
105;534973.72;6247918.60;6.33;11.94;9.76;22.53;49.43;3.70;2.17
107;534967.92;6247937.80;8.21;10.36;8.72;28.31;44.51;2.50;1.47
109;534962.22;6247956.90;8.05;9.89;7.44;26.50;48.22;1.90;1.12
