"x";"y";"ECa";"optional"
"1";504426.96875;6148835;28.89989;TRUE
"2";504426.9375;6148835.5;28.46821;TRUE
"3";504426.875;6148835;28.22461;TRUE
"4";504428.40625;6148835;29.37418;TRUE
"5";504427.09375;6148836;28.37873;TRUE
"6";504428.40625;6148836;29.51955;TRUE
"7";504425.75;6148835.5;26.73421;TRUE
"8";504426.59375;6148834.5;27.48857;TRUE
"9";504426.9375;6148834.5;28.10632;TRUE
"10";504428.40625;6148834;29.35613;TRUE
"11";504429.5;6148835.5;29.37048;TRUE
"12";504429.34375;6148834.5;29.58277;TRUE
"13";504426.96875;6148836.5;28.42307;TRUE
"14";504427.25;6148836;28.92833;TRUE
"15";504425.75;6148836.5;27.09576;TRUE
"16";504428.40625;6148837;29.46632;TRUE
"17";504429.5625;6148836.5;29.22926;TRUE
"18";504424.5;6148836.5;25.8196;TRUE
"19";504424.34375;6148835.5;25.20746;TRUE
"20";504425.75;6148834.5;25.8209;TRUE
"21";504426.65625;6148834;27.17932;TRUE
"22";504426.9375;6148833.5;27.49591;TRUE
"23";504428.40625;6148833;28.96632;TRUE
"24";504429.09375;6148833.5;29.55162;TRUE
"25";504431.1875;6148835.5;27.48638;TRUE
"26";504431.09375;6148835;26.9994;TRUE
"27";504430.84375;6148834;27.70903;TRUE
"28";504427.25;6148837;28.62437;TRUE
"29";504426.96875;6148837.5;28.08981;TRUE
"30";504427.46875;6148837;28.76689;TRUE
"31";504424.625;6148837.5;26.09668;TRUE
"32";504425.71875;6148837.5;26.81304;TRUE
"33";504428.4375;6148838;28.97312;TRUE
"34";504429.59375;6148837.5;28.59506;TRUE
"35";504431.125;6148836.5;28.23231;TRUE
"36";504423.78125;6148836;25.29983;TRUE
"37";504423.8125;6148837;25.89857;TRUE
"38";504423.75;6148835;24.34173;TRUE
"39";504424.0625;6148834.5;24.46557;TRUE
"40";504426.21875;6148833.5;26.63662;TRUE
"41";504425.75;6148833.5;24.93285;TRUE
"42";504426.96875;6148832.5;26.98956;TRUE
"43";504426.375;6148833;26.31165;TRUE
"44";504428.4375;6148832;28.47379;TRUE
"45";504428.8125;6148832.5;29.1173;TRUE
"46";504430.46875;6148833;27.72355;TRUE
"47";504431.375;6148836;27.13968;TRUE
"48";504432.6875;6148835.5;22.54519;TRUE
"49";504431.25;6148834.5;25.87093;TRUE
"50";504432.65625;6148834.5;21.69693;TRUE
"51";504431.28125;6148833.5;25.79119;TRUE
"52";504427.40625;6148838;28.20455;TRUE
"53";504426.96875;6148838.5;27.56457;TRUE
"54";504427.6875;6148838;28.19439;TRUE
"55";504423.8125;6148838;26.23772;TRUE
"56";504424.78125;6148838.5;26.09483;TRUE
"57";504425.6875;6148838.5;26.45841;TRUE
"58";504428.4375;6148839;28.23015;TRUE
"59";504429.59375;6148838.5;28.05948;TRUE
"60";504431.03125;6148837.5;28.02422;TRUE
"61";504430.96875;6148838.5;27.49893;TRUE
"62";504431.5625;6148837;26.83247;TRUE
"63";504422.875;6148836.5;25.86927;TRUE
"64";504422.8125;6148835.5;25.00735;TRUE
"65";504422.9375;6148837.5;26.55363;TRUE
"66";504423.6875;6148834;23.6384;TRUE
"67";504422.6875;6148834.5;24.09695;TRUE
"68";504423.75;6148833.5;23.92444;TRUE
"69";504425.8125;6148832.5;25.37985;TRUE
"70";504423.625;6148833;22.93852;TRUE
"71";504425.75;6148832.5;24.44306;TRUE
"72";504426;6148832;25.63697;TRUE
"73";504426.96875;6148831.5;26.49756;TRUE
"74";504428.53125;6148831.5;28.26305;TRUE
"75";504430.03125;6148832;28.00664;TRUE
"76";504431.28125;6148832.5;25.78804;TRUE
"77";504432.75;6148836.5;22.89214;TRUE
"78";504433.28125;6148836;19.52717;TRUE
"79";504433.0625;6148835;19.32087;TRUE
"80";504432.625;6148833.5;21.38553;TRUE
"81";504432.75;6148834;17.76616;TRUE
"82";504432.46875;6148833;22.84885;TRUE
"83";504427.5;6148839;27.47107;TRUE
"84";504426.9375;6148839.5;26.90725;TRUE
"85";504427.8125;6148839;27.50149;TRUE
"86";504422.96875;6148838.5;27.02884;TRUE
"87";504423.84375;6148839;26.4008;TRUE
"88";504424.84375;6148839.5;25.90118;TRUE
"89";504425.6875;6148839.5;25.97518;TRUE
"90";504429.59375;6148839.5;27.28747;TRUE
"91";504428.46875;6148840;27.39533;TRUE
"92";504430.875;6148839.5;26.62559;TRUE
"93";504431.65625;6148838;26.39722;TRUE
"94";504431.75;6148839;25.66675;TRUE
"95";504432.78125;6148837.5;23.19732;TRUE
"96";504422.15625;6148836;25.62951;TRUE
"97";504422.15625;6148837;26.44622;TRUE
"98";504422.15625;6148835;24.7429;TRUE
"99";504422.15625;6148838;27.23233;TRUE
"100";504422.4375;6148833.5;23.31999;TRUE
"101";504422.125;6148834;23.69964;TRUE
"102";504423.59375;6148832;22.77312;TRUE
"103";504423.40625;6148832.5;22.60425;TRUE
"104";504425.40625;6148831.5;24.3871;TRUE
"105";504425.75;6148831.5;25.04687;TRUE
"106";504427;6148830.5;25.98213;TRUE
"107";504425.75;6148830.5;24.87106;TRUE
"108";504428.25;6148831;27.22015;TRUE
"109";504428.46875;6148831;27.96539;TRUE
"110";504429.625;6148831.5;27.70265;TRUE
"111";504431.28125;6148831.5;25.72831;TRUE
"112";504432.0625;6148832;23.16196;TRUE
"113";504433.40625;6148837;19.95135;TRUE
"114";504434.5625;6148835.5;14.7341;TRUE
"115";504434.59375;6148836.5;15.76263;TRUE
"116";504434.5625;6148834.5;14.19064;TRUE
"117";504432.625;6148832.5;19.85515;TRUE
"118";504434.5625;6148833.5;13.50127;TRUE
"119";504434.5;6148833.5;13.61;TRUE
"120";504434.0625;6148832.5;14.48061;TRUE
"121";504427.625;6148840;26.92132;TRUE
"122";504426.9375;6148840.5;26.10339;TRUE
"123";504422.15625;6148839;27.76338;TRUE
"124";504423;6148839.5;27.30808;TRUE
"125";504423.84375;6148840;26.43026;TRUE
"126";504424.90625;6148840.5;25.52112;TRUE
"127";504425.6875;6148840.5;25.40193;TRUE
"128";504429.625;6148840.5;26.68517;TRUE
"129";504430.8125;6148840.5;26.07234;TRUE
"130";504427.875;6148840;26.66036;TRUE
"131";504428.46875;6148841;26.5824;TRUE
"132";504431.8125;6148840;24.91045;TRUE
"133";504432.84375;6148838.5;23.18009;TRUE
"134";504432.90625;6148839.5;22.96319;TRUE
"135";504433.53125;6148838;20.36742;TRUE
"136";504420.9375;6148837;26.22387;TRUE
"137";504420.78125;6148836;25.56276;TRUE
"138";504421.09375;6148838;27.00396;TRUE
"139";504420.625;6148835;24.58905;TRUE
"140";504421.15625;6148839;27.72315;TRUE
"141";504422.125;6148833;22.68958;TRUE
"142";504420.375;6148834;23.8315;TRUE
"143";504423.5625;6148831;22.89837;TRUE
"144";504423.03125;6148831.5;22.28325;TRUE
"145";504422.09375;6148832;22.08843;TRUE
"146";504422.15625;6148832.5;22.28892;TRUE
"147";504425.59375;6148831;24.60043;TRUE
"148";504425;6148830.5;23.95024;TRUE
"149";504427.84375;6148830;26.38817;TRUE
"150";504426.96875;6148829.5;25.80936;TRUE
"151";504425.75;6148829.5;24.85762;TRUE
"152";504425.125;6148830.5;24.30011;TRUE
"153";504428.46875;6148830;26.7778;TRUE
"154";504429.1875;6148830.5;27.17954;TRUE
"155";504431.28125;6148830.5;24.75258;TRUE
"156";504431.125;6148830;25.18254;TRUE
"157";504431.59375;6148831;23.89058;TRUE
"158";504432.59375;6148831.5;20.55622;TRUE
"159";504434.59375;6148837.5;16.93396;TRUE
"163";504434.84375;6148834;12.46976;TRUE
"164";504433.53125;6148831.5;16.87331;TRUE
"166";504434.5625;6148832.5;13.17791;TRUE
"167";504434.21875;6148831.5;14.80499;TRUE
"168";504434.84375;6148832;12.59167;TRUE
"169";504434.5625;6148831.5;13.40253;TRUE
"170";504427.6875;6148841;26.00956;TRUE
"171";504426.9375;6148841.5;25.13718;TRUE
"172";504421.21875;6148840;28.18761;TRUE
"173";504422.1875;6148840;28.21163;TRUE
"174";504423.03125;6148840.5;27.46958;TRUE
"175";504423.875;6148841;26.38813;TRUE
"176";504424.9375;6148841.5;25.11901;TRUE
"177";504425.71875;6148841.5;24.84434;TRUE
"178";504429.65625;6148841.5;26.16574;TRUE
"179";504430.75;6148841.5;25.63034;TRUE
"180";504431.90625;6148841;24.42587;TRUE
"181";504428.5;6148842;25.93946;TRUE
"182";504427.9375;6148841;25.57274;TRUE
"183";504432.9375;6148840.5;22.90235;TRUE
"184";504433.625;6148838.5;20.83183;TRUE
"185";504433.65625;6148839.5;21.26816;TRUE
"186";504434.59375;6148838.5;18.07445;TRUE
"187";504420.28125;6148836.5;25.47929;TRUE
"188";504420.3125;6148837.5;26.1686;TRUE
"189";504420.21875;6148835.5;24.65169;TRUE
"190";504420.375;6148838.5;27.03082;TRUE
"191";504420.1875;6148834.5;23.21615;TRUE
"192";504420.40625;6148839.5;27.62647;TRUE
"193";504420.125;6148833.5;22.73492;TRUE
"194";504422.65625;6148830.5;22.47747;TRUE
"195";504423.46875;6148830;23.14119;TRUE
"196";504422.0625;6148831;22.23805;TRUE
"197";504421.65625;6148832;22.13369;TRUE
"198";504420.09375;6148832.5;22.2271;TRUE
"204";504424.625;6148829.5;23.98782;TRUE
"205";504428.78125;6148829.5;26.45157;TRUE
"206";504430.6875;6148829.5;24.70962;TRUE
"207";504432.5625;6148830.5;21.31822;TRUE
"208";504432.375;6148830;21.92256;TRUE
"209";504431.25;6148829.5;23.82511;TRUE
"210";504432.9375;6148831;19.00834;TRUE
"219";504433.625;6148830.5;16.29341;TRUE
"222";504434.5625;6148830.5;13.83593;TRUE
"225";504427.65625;6148842;24.42144;TRUE
