"x";"y";"ECa";"optional"
"7";478415.40625;6309989;11.7994;TRUE
"12";478416.28125;6309989;11.39402;TRUE
"17";478416.15625;6309988.5;10.90279;TRUE
"18";478415.4375;6309988;10.81391;TRUE
"19";478414.46875;6309988;11.39924;TRUE
"26";478418.3125;6309988.5;9.27185;TRUE
"27";478416.4375;6309988;9.91586;TRUE
"30";478412.3125;6309989.5;12.92971;TRUE
"32";478413.53125;6309988.5;12.27939;TRUE
"33";478412.3125;6309988.5;12.68802;TRUE
"34";478416.1875;6309987.5;9.83149;TRUE
"35";478414.4375;6309987;10.43301;TRUE
"36";478415.4375;6309987;9.67086;TRUE
"37";478413.5625;6309987.5;11.2886;TRUE
"46";478420.0625;6309988.5;7.96503;TRUE
"47";478419.21875;6309988;7.94123;TRUE
"48";478418.3125;6309987.5;7.92388;TRUE
"49";478416.625;6309987;8.60664;TRUE
"53";478411.5;6309989.5;13.12546;TRUE
"54";478411.5;6309988.5;13.06413;TRUE
"56";478412.28125;6309987.5;12.2222;TRUE
"57";478411.5;6309987.5;12.86885;TRUE
"58";478416.1875;6309986.5;8.67027;TRUE
"59";478414.40625;6309987;10.29614;TRUE
"60";478414.4375;6309986.5;9.15512;TRUE
"61";478415.46875;6309986;8.62345;TRUE
"62";478412.25;6309986.5;11.56114;TRUE
"63";478413.5625;6309986.5;10.34687;TRUE
"73";478420.875;6309988.5;8.15062;TRUE
"74";478420.90625;6309987.5;6.55028;TRUE
"75";478420.0625;6309987.5;6.69106;TRUE
"76";478419.25;6309987;6.52036;TRUE
"77";478418.3125;6309986.5;6.66201;TRUE
"78";478416.84375;6309986;7.38933;TRUE
"83";478410.625;6309989;13.08098;TRUE
"84";478410.625;6309988;13.04979;TRUE
"86";478411.5;6309986.5;12.43685;TRUE
"87";478410.625;6309987;12.91635;TRUE
"88";478416.21875;6309985.5;7.61664;TRUE
"89";478414.40625;6309986;9.21852;TRUE
"90";478414.4375;6309985.5;8.4034;TRUE
"91";478415.5;6309985;7.73654;TRUE
"92";478412.25;6309985.5;10.92178;TRUE
"93";478411.53125;6309985.5;11.88065;TRUE
"94";478413.5625;6309985.5;9.642;TRUE
"107";478421.65625;6309988;7.19185;TRUE
"108";478421.65625;6309987;5.69712;TRUE
"109";478420.90625;6309986.5;5.39007;TRUE
"110";478420.0625;6309986.5;5.42676;TRUE
"111";478419.28125;6309986;5.36543;TRUE
"112";478418.3125;6309985.5;5.54967;TRUE
"113";478417.03125;6309985;6.3583;TRUE
"118";478409.65625;6309989;13.10576;TRUE
"119";478409.65625;6309988;13.16996;TRUE
"120";478409.65625;6309987;13.2081;TRUE
"122";478410.59375;6309986;12.6909;TRUE
"123";478409.6875;6309986;13.22358;TRUE
"124";478416.25;6309984.5;6.68684;TRUE
"125";478413.59375;6309984.5;8.45579;TRUE
"126";478415.53125;6309984;6.93973;TRUE
"127";478412.25;6309984.5;10.11301;TRUE
"128";478411.5625;6309984.5;11.3613;TRUE
"129";478410.59375;6309985;12.38259;TRUE
"146";478422.71875;6309987.5;6.28204;TRUE
"147";478422.78125;6309986.5;5.23317;TRUE
"148";478421.6875;6309986;4.98416;TRUE
"149";478420.9375;6309985.5;4.77562;TRUE
"150";478420.0625;6309985.5;4.9692;TRUE
"151";478419.3125;6309985;4.79728;TRUE
"152";478418.28125;6309984.5;5.05927;TRUE
"153";478417.1875;6309984;5.70295;TRUE
"157";478408.625;6309989.5;12.93835;TRUE
"159";478408.59375;6309988.5;12.99967;TRUE
"160";478408.625;6309987.5;13.09762;TRUE
"161";478408.625;6309986.5;13.23994;TRUE
"163";478409.71875;6309985;13.19369;TRUE
"164";478408.59375;6309985.5;13.3938;TRUE
"165";478416.28125;6309983.5;6.20228;TRUE
"166";478413.625;6309983.5;8.15847;TRUE
"167";478414.5;6309983;7.24547;TRUE
"168";478412.28125;6309983.5;9.42525;TRUE
"169";478415.53125;6309983;6.45681;TRUE
"170";478411.59375;6309983.5;10.83736;TRUE
"171";478410.59375;6309984;12.05765;TRUE
"172";478409.75;6309984;13.10321;TRUE
"197";478423.53125;6309987.5;7.09956;TRUE
"198";478423.46875;6309986.5;5.73065;TRUE
"199";478423.5;6309985.5;5.09106;TRUE
"200";478422.8125;6309985.5;4.77456;TRUE
"201";478421.6875;6309985;4.66519;TRUE
"202";478420.96875;6309984.5;4.60514;TRUE
"203";478420.09375;6309984.5;4.66621;TRUE
"204";478419.34375;6309984;4.53742;TRUE
"205";478418.28125;6309983.5;4.8176;TRUE
"206";478418.3125;6309982.5;5.09593;TRUE
"207";478416.3125;6309982.5;5.97851;TRUE
"210";478407.40625;6309990;12.82392;TRUE
"211";478407.625;6309989;12.86669;TRUE
"213";478407.75;6309988;12.96062;TRUE
"214";478407.78125;6309987;13.17805;TRUE
"215";478407.84375;6309986;13.37713;TRUE
"216";478408.625;6309984.5;13.55108;TRUE
"217";478407.875;6309985;13.5879;TRUE
"218";478413.6875;6309982.5;7.91441;TRUE
"219";478412.3125;6309982.5;9.23245;TRUE
"220";478415.5625;6309982;6.72838;TRUE
"221";478411.625;6309982.5;10.47811;TRUE
"222";478410.625;6309983;11.97433;TRUE
"223";478409.78125;6309983;13.03231;TRUE
"224";478408.65625;6309983.5;13.6544;TRUE
"254";478424.8125;6309987.5;6.90287;TRUE
"255";478424.875;6309986.5;5.49049;TRUE
"256";478424.90625;6309985.5;5.0727;TRUE
"257";478423.5;6309984.5;4.75417;TRUE
"258";478422.875;6309984.5;4.53983;TRUE
"259";478421.71875;6309984;4.58521;TRUE
"260";478421;6309983.5;4.57962;TRUE
"261";478420.09375;6309983.5;4.49073;TRUE
"262";478419.375;6309983;4.50797;TRUE
"263";478417.4375;6309982;5.46811;TRUE
"264";478418.3125;6309981.5;5.18294;TRUE
"265";478419.375;6309982;4.81767;TRUE
"266";478416.34375;6309981.5;6.22227;TRUE
"269";478406.84375;6309989;12.84368;TRUE
"270";478406.84375;6309990;12.79552;TRUE
"271";478406.84375;6309988;12.99238;TRUE
"272";478406.84375;6309987;13.23505;TRUE
"273";478406.8125;6309986;13.44115;TRUE
"274";478406.8125;6309985;13.66196;TRUE
"275";478407.90625;6309984;13.7572;TRUE
"276";478406.84375;6309984;13.93324;TRUE
"277";478413.71875;6309981.5;8.50168;TRUE
"278";478412.34375;6309981.5;9.45705;TRUE
"279";478411.65625;6309981.5;10.58254;TRUE
"280";478415.59375;6309981;6.83698;TRUE
"281";478414.5625;6309980.5;7.94136;TRUE
"282";478410.625;6309982;12.01496;TRUE
"283";478409.8125;6309982;13.00792;TRUE
"284";478408.6875;6309982.5;13.67605;TRUE
"285";478407.9375;6309983;13.88805;TRUE
"297";478425.59375;6309987.5;7.29581;TRUE
"313";478425.6875;6309985.5;5.36364;TRUE
"314";478427.0625;6309986.5;6.21864;TRUE
"315";478425.6875;6309984.5;5.19775;TRUE
"316";478424.90625;6309984.5;4.87423;TRUE
"317";478423.5;6309983.5;4.59485;TRUE
"318";478422.9375;6309983.5;4.51766;TRUE
"319";478421.71875;6309983;4.60259;TRUE
"320";478421.0625;6309982.5;4.60803;TRUE
"321";478420.09375;6309982.5;4.58809;TRUE
"322";478417.46875;6309981;5.63598;TRUE
"323";478419.40625;6309981;4.94149;TRUE
"324";478418.34375;6309980.5;5.18877;TRUE
"325";478420.125;6309981.5;4.76695;TRUE
"326";478416.375;6309980.5;6.42916;TRUE
"328";478406.0625;6309990;12.88994;TRUE
"329";478406.09375;6309989;12.99904;TRUE
"330";478406.125;6309988;13.19747;TRUE
"331";478406.125;6309987;13.41258;TRUE
"332";478406.15625;6309986;13.62276;TRUE
"333";478406.15625;6309985;13.87479;TRUE
"334";478406.875;6309983;14.10184;TRUE
"335";478406.1875;6309984;14.13176;TRUE
"336";478413.71875;6309980.5;9.15816;TRUE
"337";478412.46875;6309980.5;10.0275;TRUE
"338";478411.6875;6309980.5;10.88193;TRUE
"339";478410.625;6309981;12.20998;TRUE
"340";478415.625;6309980;7.27791;TRUE
"341";478414.5625;6309979.5;8.62355;TRUE
"342";478409.84375;6309981;13.04382;TRUE
"343";478408.71875;6309981.5;13.64967;TRUE
"344";478407.96875;6309982;13.943;TRUE
"345";478406.90625;6309982;14.15998;TRUE
"358";478427.09375;6309987.5;7.16091;TRUE
"377";478427.0625;6309985.5;5.79194;TRUE
"378";478427.90625;6309986;6.3064;TRUE
"379";478427.96875;6309987;6.66892;TRUE
"380";478427.0625;6309984.5;5.59285;TRUE
"381";478425.71875;6309983.5;5.06693;TRUE
"382";478424.9375;6309983.5;4.78073;TRUE
"383";478423;6309982.5;4.52723;TRUE
"384";478424.96875;6309982.5;4.75847;TRUE
"385";478421.75;6309982;4.62327;TRUE
"386";478421.09375;6309981.5;4.70293;TRUE
"387";478417.5;6309980;5.81041;TRUE
"388";478420.15625;6309980.5;4.86248;TRUE
"389";478419.4375;6309980;4.97934;TRUE
"390";478418.375;6309979.5;5.27497;TRUE
"391";478416.40625;6309979.5;6.72225;TRUE
"392";478405.5;6309990;12.99331;TRUE
"393";478405.46875;6309989;13.03178;TRUE
"394";478405.4375;6309988;13.26029;TRUE
"395";478405.375;6309987;13.53277;TRUE
"396";478405.375;6309986;13.74641;TRUE
"397";478405.34375;6309985;13.96726;TRUE
"398";478405.34375;6309984;14.21547;TRUE
"399";478406.21875;6309983;14.26692;TRUE
"400";478405.34375;6309983;14.37075;TRUE
"401";478413.71875;6309979.5;9.79642;TRUE
"402";478412.5625;6309979.5;10.59596;TRUE
"403";478411.6875;6309979.5;11.34194;TRUE
"404";478410.625;6309980;12.55084;TRUE
"405";478409.875;6309980;13.15232;TRUE
"406";478415.65625;6309979;7.71483;TRUE
"407";478414.5625;6309978.5;9.23456;TRUE
"408";478408.78125;6309980.5;13.57837;TRUE
"409";478407.96875;6309981;13.88538;TRUE
"410";478406.9375;6309981;14.06532;TRUE
"411";478406.21875;6309982;14.28129;TRUE
"432";478403.1875;6309990.5;13.06045;TRUE
"433";478401.65625;6309990.5;13.0799;TRUE
"434";478402.5625;6309990;13.13023;TRUE
"449";478427.875;6309985;6.01317;TRUE
"450";478428.4375;6309986.5;6.69268;TRUE
"451";478428.59375;6309985.5;6.46521;TRUE
"452";478428.3125;6309987.5;7.20248;TRUE
"453";478427.84375;6309984;5.81157;TRUE
"454";478427.0625;6309983.5;5.48045;TRUE
"455";478425.75;6309982.5;4.99209;TRUE
"456";478423.03125;6309981.5;4.6013;TRUE
"457";478425.03125;6309981.5;4.76848;TRUE
"458";478425.75;6309981.5;4.95474;TRUE
"459";478421.78125;6309981;4.68279;TRUE
"460";478421.125;6309980.5;4.8294;TRUE
"461";478417.53125;6309979;5.91446;TRUE
"462";478420.1875;6309979.5;4.88119;TRUE
"463";478419.46875;6309979;5.01593;TRUE
"464";478418.40625;6309978.5;5.50668;TRUE
"465";478416.40625;6309978.5;7.03746;TRUE
"466";478404.3125;6309989;13.21759;TRUE
"467";478404.3125;6309988;13.44711;TRUE
"468";478404.3125;6309987;13.73811;TRUE
"469";478404.34375;6309986;14.02268;TRUE
"470";478404.375;6309985;14.1791;TRUE
"471";478404.40625;6309984;14.28054;TRUE
"472";478405.34375;6309982;14.39861;TRUE
"473";478404.40625;6309983;14.32738;TRUE
"474";478413.75;6309978.5;10.37013;TRUE
"475";478412.59375;6309978.5;11.17687;TRUE
"476";478411.71875;6309978.5;11.79692;TRUE
"477";478410.625;6309979;12.81354;TRUE
"478";478409.90625;6309979;13.28368;TRUE
"479";478408.8125;6309979.5;13.54857;TRUE
"480";478415.6875;6309978;8.1842;TRUE
"481";478414.5625;6309977.5;9.76987;TRUE
"482";478408;6309980;13.76619;TRUE
"483";478406.96875;6309980;13.929;TRUE
"484";478406.25;6309981;14.18504;TRUE
"485";478405.3125;6309981;14.23773;TRUE
"503";478400.65625;6309990;13.15077;TRUE
"504";478403.21875;6309989.5;13.21808;TRUE
"505";478401.625;6309989.5;13.3096;TRUE
"506";478402.5625;6309989;13.36794;TRUE
"517";478428.75;6309984.5;6.22769;TRUE
"518";478429.9375;6309986;7.26385;TRUE
"519";478430.03125;6309987;7.6408;TRUE
"520";478429.875;6309985;7.00039;TRUE
"521";478428.84375;6309983.5;6.11862;TRUE
"522";478427.84375;6309983;5.72796;TRUE
"523";478427.0625;6309982.5;5.37097;TRUE
"524";478423.59375;6309981;4.6064;TRUE
"525";478423.03125;6309980.5;4.61593;TRUE
"526";478425.09375;6309980.5;4.81622;TRUE
"527";478425.78125;6309980.5;4.97461;TRUE
"528";478427.09375;6309981.5;5.32332;TRUE
"529";478421.8125;6309980;4.77307;TRUE
"530";478421.1875;6309979.5;4.89106;TRUE
"531";478417.53125;6309978;6.10796;TRUE
"532";478420.21875;6309978.5;4.927;TRUE
"533";478421.1875;6309978.5;4.95722;TRUE
"534";478419.5;6309978;5.13941;TRUE
"535";478418.4375;6309977.5;5.71835;TRUE
"536";478416.4375;6309977.5;7.41089;TRUE
"537";478403.25;6309988.5;13.52271;TRUE
"538";478403.28125;6309987.5;13.83909;TRUE
"539";478403.28125;6309986.5;14.12244;TRUE
"540";478403.28125;6309985.5;14.29738;TRUE
"541";478403.3125;6309984.5;14.35603;TRUE
"542";478403.34375;6309983.5;14.31011;TRUE
"543";478404.4375;6309982;14.26021;TRUE
"544";478403.34375;6309982.5;14.11185;TRUE
"545";478412.84375;6309978;11.54553;TRUE
"546";478413.75;6309977.5;10.77504;TRUE
"547";478411.75;6309977.5;12.3076;TRUE
"548";478410.65625;6309978;13.00912;TRUE
"549";478409.90625;6309978;13.35962;TRUE
"550";478408.84375;6309978.5;13.51441;TRUE
"551";478408.03125;6309979;13.58184;TRUE
"552";478415.75;6309977;8.64841;TRUE
"553";478414.5625;6309976.5;10.27642;TRUE
"554";478407;6309979;13.74254;TRUE
"555";478406.28125;6309980;13.98865;TRUE
"556";478405.3125;6309980;13.92031;TRUE
"557";478404.4375;6309981;14.07513;TRUE
"575";478398.84375;6309990.5;12.53577;TRUE
"577";478400.65625;6309989;13.43025;TRUE
"578";478398.8125;6309989.5;13.13455;TRUE
"579";478401.625;6309988.5;13.54318;TRUE
"580";478402.59375;6309988;13.67103;TRUE
"593";478429.875;6309984;6.72712;TRUE
"594";478430.90625;6309986.5;8.34109;TRUE
"595";478430.875;6309985.5;7.76352;TRUE
"596";478430.875;6309984.5;7.4746;TRUE
"597";478429.84375;6309983;6.61411;TRUE
"598";478428.90625;6309982.5;6.08075;TRUE
"599";478427.8125;6309982;5.64416;TRUE
"600";478423.59375;6309980;4.64815;TRUE
"601";478423.0625;6309979.5;4.67383;TRUE
"602";478425.125;6309979.5;4.92969;TRUE
"603";478425.8125;6309979.5;5.07447;TRUE
"604";478427.09375;6309980.5;5.35045;TRUE
"605";478427.78125;6309981;5.64183;TRUE
"606";478421.875;6309979;4.83029;TRUE
"607";478417.5625;6309977;6.37356;TRUE
"608";478420.25;6309977.5;5.06198;TRUE
"609";478421.90625;6309978;4.91218;TRUE
"610";478421.21875;6309977.5;5.00056;TRUE
"611";478419.53125;6309977;5.31606;TRUE
"612";478418.46875;6309976.5;6.03304;TRUE
"613";478416.46875;6309976.5;7.90158;TRUE
"614";478402.59375;6309987;13.99393;TRUE
"615";478402.59375;6309986;14.14237;TRUE
"616";478402.59375;6309985;14.23325;TRUE
"617";478402.625;6309984;14.22324;TRUE
"618";478402.625;6309983;14.09637;TRUE
"619";478403.375;6309981.5;13.83664;TRUE
"620";478402.625;6309982;13.84806;TRUE
"621";478412.8125;6309977;12.09148;TRUE
"622";478413.78125;6309976.5;11.26932;TRUE
"623";478411.78125;6309976.5;12.77586;TRUE
"624";478410.6875;6309977;13.2013;TRUE
"625";478409.9375;6309977;13.43068;TRUE
"626";478408.875;6309977.5;13.51167;TRUE
"627";478408.0625;6309978;13.47036;TRUE
"628";478407.0625;6309978;13.51841;TRUE
"629";478415.78125;6309976;9.1293;TRUE
"630";478414.59375;6309975.5;10.85287;TRUE
"631";478406.3125;6309979;13.74674;TRUE
"632";478405.34375;6309979;13.67455;TRUE
"633";478404.46875;6309980;13.82531;TRUE
"634";478403.40625;6309980.5;13.62635;TRUE
"650";478431.46875;6309987;9.6075;TRUE
"652";478397.375;6309991;12.81933;TRUE
"654";478400.625;6309988;13.657;TRUE
"655";478399.5;6309988.5;13.58176;TRUE
"656";478398.78125;6309988.5;13.39951;TRUE
"657";478397.25;6309990;13.11921;TRUE
"658";478397.21875;6309989;13.38419;TRUE
"659";478401.59375;6309987.5;13.78998;TRUE
"675";478430.84375;6309983.5;7.25247;TRUE
"676";478431.46875;6309986;8.8458;TRUE
"677";478431.46875;6309985;8.33005;TRUE
"678";478431.46875;6309984;8.029;TRUE
"679";478430.84375;6309982.5;7.2399;TRUE
"680";478429.84375;6309982;6.60688;TRUE
"681";478428.96875;6309981.5;6.06891;TRUE
"682";478423.59375;6309979;4.76224;TRUE
"683";478423.0625;6309978.5;4.81115;TRUE
"684";478425.125;6309978.5;5.15884;TRUE
"685";478425.84375;6309978.5;5.27268;TRUE
"686";478427.125;6309979.5;5.5153;TRUE
"687";478427.78125;6309980;5.75724;TRUE
"688";478429;6309980.5;6.13334;TRUE
"689";478417.5625;6309976;6.85063;TRUE
"690";478420.25;6309976.5;5.31399;TRUE
"691";478423.0625;6309977.5;5.04563;TRUE
"692";478421.96875;6309977;5.06411;TRUE
"693";478421.25;6309976.5;5.22274;TRUE
"694";478419.5625;6309976;5.62613;TRUE
"695";478418.5;6309975.5;6.5104;TRUE
"696";478416.46875;6309975.5;8.5373;TRUE
"697";478401.625;6309986.5;14.01405;TRUE
"698";478401.6875;6309986;14.11276;TRUE
"699";478401.6875;6309985;14.14989;TRUE
"700";478401.6875;6309984;14.05066;TRUE
"701";478401.71875;6309983;13.79643;TRUE
"702";478402.65625;6309981;13.53632;TRUE
"703";478401.6875;6309982;13.38843;TRUE
"704";478412.84375;6309976;12.56466;TRUE
"705";478413.84375;6309975.5;11.88382;TRUE
"706";478411.78125;6309975.5;13.09358;TRUE
"707";478410.71875;6309976;13.44062;TRUE
"708";478409.96875;6309976;13.54158;TRUE
"709";478408.9375;6309976.5;13.48236;TRUE
"710";478408.09375;6309977;13.38459;TRUE
"711";478407.125;6309977;13.37836;TRUE
"712";478406.375;6309978;13.49286;TRUE
"713";478415.8125;6309975;9.79512;TRUE
"714";478414.625;6309974.5;11.49219;TRUE
"715";478405.34375;6309978;13.42692;TRUE
"716";478404.46875;6309979;13.54093;TRUE
"717";478403.4375;6309979.5;13.46759;TRUE
"718";478402.65625;6309980;13.28035;TRUE
"736";478432.40625;6309986.5;10.01606;TRUE
"739";478396.875;6309990.5;12.83501;TRUE
"741";478400.625;6309987;13.83103;TRUE
"742";478399.46875;6309987.5;13.76668;TRUE
"743";478398.78125;6309987.5;13.63926;TRUE
"744";478397.1875;6309988;13.64489;TRUE
"745";478396.875;6309989.5;13.15379;TRUE
"746";478396.875;6309988.5;13.44199;TRUE
"761";478431.5;6309983;7.85274;TRUE
"762";478432.40625;6309985.5;9.33052;TRUE
"763";478432.46875;6309984.5;8.86182;TRUE
"764";478432.5;6309983.5;8.62324;TRUE
"765";478431.5;6309982;7.94412;TRUE
"766";478430.875;6309981.5;7.27461;TRUE
