XUTM,YUTM,EC 0-0.25 m
535270.62500,6248260.50000,2.75739
535269.81250,6248259.00000,2.68290
535270.00000,6248262.00000,2.72157
535272.31250,6248260.00000,2.68426
535270.62500,6248257.50000,2.69526
535262.68750,6248260.00000,2.72042
535262.87500,6248257.00000,2.60586
535270.56250,6248263.50000,2.81305
535262.37500,6248263.00000,2.80939
535272.25000,6248257.00000,2.67109
535272.43750,6248264.50000,2.88690
535277.06250,6248259.50000,2.57411
535277.12500,6248264.00000,2.79926
535270.62500,6248254.50000,2.67210
535254.12500,6248259.00000,3.01563
535254.12500,6248262.00000,3.03150
535254.12500,6248256.00000,3.03904
535262.93750,6248254.00000,2.65852
535270.56250,6248266.50000,2.86383
535270.37500,6248266.50000,2.81978
535261.93750,6248266.00000,2.95148
535253.93750,6248265.00000,3.07027
535276.93750,6248255.50000,2.60352
535272.12500,6248254.00000,2.66903
535272.43750,6248267.50000,2.95144
535277.06250,6248268.00000,3.02854
535281.93750,6248258.50000,2.61930
535282.06250,6248262.50000,2.79206
535282.06250,6248268.00000,2.94542
535269.68750,6248252.50000,2.58707
535246.68750,6248256.00000,3.16001
535246.43750,6248259.00000,3.12135
535246.37500,6248262.00000,3.09008
535246.75000,6248265.00000,3.00590
535246.87500,6248253.00000,3.20550
535254.06250,6248253.00000,3.08533
535262.87500,6248251.00000,2.84861
535270.62500,6248269.50000,2.91775
535270.25000,6248270.00000,2.85490
535261.37500,6248269.00000,3.19551
535252.87500,6248267.50000,3.16552
535247.81250,6248267.50000,3.03428
535281.81250,6248254.50000,2.56625
535276.75000,6248251.00000,2.61029
535270.62500,6248251.50000,2.70141
535271.87500,6248251.00000,2.70581
535272.50000,6248270.50000,3.05428
535277.00000,6248272.00000,3.24996
535282.06250,6248271.00000,3.18004
535281.75000,6248251.50000,2.57554
535328.50000,6247913.00000,4.72627
535329.37500,6247910.00000,5.34985
535269.68750,6248249.50000,2.71232
535241.37500,6248256.50000,3.24162
535241.25000,6248253.50000,3.29544
535241.25000,6248259.50000,3.17549
535239.81250,6248262.00000,3.05158
535239.75000,6248266.00000,2.82990
535244.00000,6248268.00000,2.88308
535241.18750,6248250.50000,3.38376
535247.00000,6248250.00000,3.27769
535254.06250,6248250.00000,3.20419
535262.81250,6248248.00000,3.12106
535270.62500,6248272.50000,3.13889
535269.25000,6248273.00000,3.12992
535267.25000,6248275.00000,3.36004
535256.50000,6248273.50000,3.36264
535260.68750,6248272.00000,3.31236
535250.37500,6248269.00000,3.15824
535253.68750,6248272.50000,3.25344
535246.68750,6248269.50000,2.97445
535249.43750,6248270.50000,3.08004
535276.68750,6248248.00000,2.62293
535281.68750,6248248.50000,2.51492
535271.75000,6248248.00000,2.76303
535272.43750,6248273.50000,3.18424
535276.87500,6248275.00000,3.41651
535282.00000,6248275.50000,3.66232
535282.12500,6248290.50000,4.78021
535327.62500,6247916.00000,3.99204
