ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus		
1	504326	6148833.00	9.157	11.389	35.437	44.016	5.094		
2	504341	6148833.71	10.301	9.386	39.756	40.557	8.569		
3	504356	6148834.43	9.470	9.272	38.261	42.997	6.627		
4	504371	6148835.14	7.215	8.116	38.004	46.665	5.417		
5	504386	6148835.86	5.705	7.252	30.758	56.285	3.526		
6	504401	6148836.57	6.756	8.274	30.710	54.260	3.526		
7	504416	6148837.29	10.693	12.675	34.762	41.870	3.714		
8	504327	6148848.00	10.018	10.612	39.847	39.523	10.324		
9	504342	6148848.71	15.315	13.288	37.864	33.533	14.344		
10	504357	6148849.43	12.666	13.040	41.540	32.755	12.470		
11	504372	6148850.14	7.933	9.927	38.863	43.277	7.615		
12	504387	6148850.86	8.432	9.397	30.599	51.571	4.651		
13	504402	6148851.57	11.323	12.253	31.658	44.766	4.566		
14	504417	6148852.29	11.825	14.116	36.404	37.654	3.629		
15	504328	6148863.00	9.853	10.046	41.679	38.423	9.540		
16	504343	6148863.71	12.001	14.093	39.498	34.408	11.857		
17	504358	6148864.43	12.819	12.767	39.039	35.375	6.201		
18	504373	6148865.14	11.247	12.675	41.239	34.838	5.945		
19	504388	6148865.86	10.716	13.401	35.407	40.476	4.634		
20	504403	6148866.57	11.322	14.164	35.031	39.484	3.867		
21	504418	6148867.29	13.593	15.981	39.607	30.820	3.629		
22	504329	6148878.00	9.027	9.378	41.812	39.783	7.632		
23	504344	6148878.71	11.209	11.360	40.988	36.443	6.951		
24	504359	6148879.43	12.379	13.245	41.847	32.529	6.337		
25	504374	6148880.14	13.154	15.254	34.192	37.400	4.957		
26	504389	6148880.86	10.288	11.623	36.606	41.483	4.157		
27	504404	6148881.57	12.418	14.174	37.647	35.761	4.106		
28	504419	6148882.29	14.541	15.487	36.792	33.180	3.424		
29	504330	6148893.00	10.027	12.160	42.276	35.537	5.349		
30	504345	6148893.71	11.223	12.648	43.519	32.610	5.741		
31	504360	6148894.43	14.705	15.846	36.341	33.108	5.077		
32	504375	6148895.14	12.251	14.336	37.395	36.018	4.089		
33	504390	6148895.86	10.078	11.717	35.037	43.169	3.646		
34	504405	6148896.57	13.403	15.097	35.784	35.715	3.509		
35	504420	6148897.29	12.984	15.057	39.787	32.172	3.714		
36	504331	6148908.00	11.969	14.628	34.786	38.617	4.123		
37	504346	6148908.71	13.089	16.225	34.356	36.331	4.480		
38	504361	6148909.43	13.595	16.695	34.564	35.146	4.259		
39	504376	6148910.14	11.249	13.734	36.825	38.192	3.935		
40	504391	6148910.86	12.757	14.122	35.588	37.533	3.271		
41	504406	6148911.57	12.814	15.041	35.247	36.898	3.066		
42	504421	6148912.29	13.430	14.945	37.300	34.325	3.083		
43	504392	6148925.86	12.964	15.033	36.778	35.225	3.560		
44	504407	6148926.57	13.905	15.052	35.589	35.454	3.305		
45	504422	6148927.29	12.748	13.079	37.861	36.312	3.203		
