ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus
1	478400.99	6309815.33	15.295	16.481	44.487	23.737	3.492
2	478415.99	6309815.33	15.389	16.370	44.606	23.635	3.441
3	478430.99	6309815.33	14.697	17.085	44.861	23.357	3.509
4	478445.99	6309815.33	14.792	17.664	44.288	23.256	3.458
5	478460.99	6309815.33	14.684	17.760	43.461	24.094	3.424
6	478400.24	6309830.33	15.392	17.064	43.705	23.839	3.458
7	478415.24	6309830.33	15.389	17.061	44.876	22.674	3.441
8	478430.24	6309830.33	14.784	17.655	44.668	22.893	3.407
9	478445.24	6309830.33	15.414	17.088	45.231	22.267	3.595
10	478460.24	6309830.33	15.488	16.951	43.518	24.043	3.407
11	478399.49	6309845.33	15.496	16.269	46.274	21.961	3.458
12	478414.49	6309845.33	15.598	16.852	43.878	23.672	3.441
13	478429.49	6309845.33	15.980	16.453	45.485	22.082	3.390
14	478444.49	6309845.33	16.197	16.943	43.135	23.724	3.441
15	478459.49	6309845.33	15.512	16.287	45.247	22.955	3.560
16	478398.74	6309860.33	15.518	16.984	43.075	24.423	3.595
17	478413.74	6309860.33	14.794	17.667	46.013	21.525	3.475
18	478428.74	6309860.33	14.905	16.882	45.513	22.699	3.526
19	478443.74	6309860.33	14.758	16.935	46.759	21.548	3.237
20	478458.74	6309860.33	14.758	16.935	44.706	23.601	3.237
21	478397.98	6309875.33	14.895	17.561	44.756	22.788	3.458
22	478412.98	6309875.33	14.779	16.958	45.325	22.938	3.373
23	478427.98	6309875.33	14.871	18.223	45.035	21.871	3.305
24	478442.98	6309875.33	15.466	17.616	44.805	22.113	3.271
25	478457.98	6309875.33	15.463	17.613	44.027	22.897	3.254
26	478397.23	6309890.33	14.921	17.592	45.255	22.232	3.629
27	478412.23	6309890.33	14.779	17.648	45.618	21.955	3.373
28	478427.23	6309890.33	15.507	16.972	45.357	22.164	3.526
29	478442.23	6309890.33	16.792	16.343	44.261	22.605	3.424
30	478457.23	6309890.33	15.957	15.741	45.395	22.907	3.254
31	478396.47	6309905.33	17.541	15.682	45.712	21.066	3.680
32	478411.47	6309905.33	17.553	17.771	45.172	19.504	3.748
33	478426.47	6309905.33	16.707	17.160	44.385	21.748	3.543
34	478441.47	6309905.33	16.678	17.129	43.759	22.434	3.373
35	478456.47	6309905.33	16.669	17.120	44.962	21.249	3.322
36	478395.72	6309920.33	19.659	18.415	42.645	19.281	3.697
37	478410.72	6309920.33	18.229	18.421	42.537	20.812	3.595
38	478425.72	6309920.33	17.372	17.802	42.639	22.186	3.339
39	478440.72	6309920.33	16.651	17.102	45.399	20.847	3.220
40	478455.72	6309920.33	17.303	16.564	44.667	21.466	3.543
41	478394.97	6309935.33	19.569	18.331	41.782	20.318	3.254
42	478409.97	6309935.33	18.840	16.942	42.699	21.519	3.118
43	478424.97	6309935.33	18.197	17.699	43.108	20.996	3.424
44	478439.97	6309935.33	17.593	16.904	45.015	20.488	3.373
45	478454.97	6309935.33	16.733	16.973	44.177	22.117	3.083
46	478394.21	6309950.33	17.439	16.967	43.819	21.775	3.118
47	478409.21	6309950.33	17.436	16.964	43.678	21.922	3.101
48	478424.21	6309950.33	17.615	18.306	43.554	20.525	3.492
49	478439.21	6309950.33	16.777	17.018	44.435	21.770	3.339
50	478454.21	6309950.33	17.293	16.348	43.527	22.832	2.896
51	478393.46	6309965.33	19.042	18.764	42.330	19.863	3.015
52	478408.46	6309965.33	15.030	21.389	40.824	22.757	2.981
53	478423.46	6309965.33	16.651	15.725	43.555	24.070	3.220
54	478438.46	6309965.33	16.771	17.012	43.017	23.200	3.305
55	478453.46	6309965.33	17.415	16.943	41.493	24.149	2.981
56	478392.71	6309980.33	19.555	18.318	40.605	21.522	3.186
57	478407.71	6309980.33	17.330	17.070	40.871	24.729	3.101
58	478422.71	6309980.33	15.037	14.558	37.321	33.085	3.135
59	478437.71	6309980.33	17.159	14.562	42.764	25.516	3.322
60	478452.71	6309980.33	17.994	15.653	41.755	24.598	2.913
