ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus
1	534962.12	6247748.20	11.029	11.771	45.705	31.495	5.700
3	534956.42	6247767.40	9.372	13.388	41.298	35.942	3.000
5	534950.62	6247786.50	10.827	14.811	36.466	37.896	2.200
7	534944.92	6247805.70	11.735	11.837	40.714	35.714	2.100
9	534939.22	6247824.80	11.247	11.759	41.820	35.174	2.200
11	534933.42	6247844.00	9.714	11.350	34.458	44.479	2.300
13	534927.72	6247863.10	11.236	11.747	34.831	42.186	2.100
15	534922.02	6247882.30	7.684	11.885	36.783	43.648	2.400
17	534916.22	6247901.40	7.582	11.885	35.758	44.775	2.400
19	534910.52	6247920.60	8.188	10.235	33.265	48.311	2.200
21	534904.82	6247939.70	8.172	9.806	36.874	45.148	2.200
23	534899.02	6247958.90	8.172	9.806	40.654	41.369	2.100
25	534893.32	6247978.00	9.072	9.276	34.964	46.687	1.800
27	534887.62	6247997.10	8.045	8.859	38.493	44.603	1.800
29	534981.32	6247754.00	10.526	13.725	44.066	31.682	3.100
31	534975.52	6247773.10	10.235	12.282	41.965	35.517	2.300
33	534969.82	6247792.30	11.759	11.247	41.922	35.072	2.100
35	534964.12	6247811.40	13.252	12.334	35.984	38.430	2.000
37	534958.32	6247830.60	11.825	12.232	40.877	35.066	2.000
39	534952.62	6247849.70	10.838	13.292	38.344	37.526	2.200
41	534946.92	6247868.90	9.221	11.373	33.504	45.902	2.400
43	534941.12	6247888.00	8.214	12.834	36.037	42.916	2.500
45	534935.42	6247907.10	8.214	12.115	41.068	38.604	2.500
47	534929.72	6247926.30	8.700	10.338	38.280	42.682	2.300
49	534923.92	6247945.40	9.193	10.725	34.321	45.761	2.100
51	534918.22	6247964.60	8.580	9.397	35.444	46.578	2.200
53	534912.52	6247983.70	8.078	9.816	38.753	43.354	2.100
55	534906.72	6248002.90	8.037	8.342	37.538	46.083	1.800
57	535000.42	6247759.70	9.324	12.295	43.648	34.734	2.400
59	534994.72	6247778.90	11.157	12.385	42.682	33.777	2.300
61	534988.92	6247798.00	10.838	11.759	42.536	34.867	2.200
63	534983.22	6247817.20	11.735	11.837	40.408	36.020	2.000
65	534977.52	6247836.30	11.327	12.245	43.265	33.163	2.100
67	534971.72	6247855.40	11.270	12.807	39.652	36.270	2.300
69	534966.02	6247874.60	9.231	10.872	37.744	42.154	2.600
71	534960.32	6247893.70	7.419	15.047	42.006	35.528	4.200
73	534954.52	6247912.90	7.404	14.077	33.785	44.734	4.100
75	534948.82	6247932.00	8.188	12.282	40.123	39.406	2.300
77	534943.12	6247951.20	8.970	7.849	38.328	44.852	1.900
79	534937.32	6247970.30	9.082	7.245	38.469	45.204	1.900
81	534931.62	6247989.50	9.184	10.306	37.347	43.163	2.100
83	534925.92	6248008.60	9.602	10.827	34.831	44.740	2.000
87	535019.52	6247765.50	9.704	10.827	47.600	31.869	2.200
89	535013.82	6247784.60	11.861	12.781	43.456	31.902	2.300
91	535008.12	6247803.70	10.838	12.679	41.820	34.663	2.200
93	535002.32	6247822.90	9.704	12.870	38.304	39.122	2.200
95	534996.62	6247842.00	10.736	11.350	42.843	35.072	2.200
99	534990.92	6247861.20	11.361	12.794	36.847	38.997	2.400
101	534985.12	6247880.30	8.230	11.317	38.992	41.461	2.800
103	534979.42	6247899.50	10.650	10.202	41.480	37.668	10.900
105	534973.72	6247918.60	6.334	11.942	32.295	49.429	3.700
107	534967.92	6247937.80	8.197	10.348	36.988	44.467	2.500
109	534962.22	6247956.90	8.045	9.878	33.910	48.167	1.900
111	534956.52	6247976.10	11.077	7.825	32.317	48.780	1.600
113	534950.72	6247995.20	9.592	9.796	39.898	40.714	2.000
115	534945.02	6248014.30	10.225	9.816	36.503	43.456	2.200
123	535038.72	6247771.20	10.872	13.231	43.795	32.103	2.400
125	535033.02	6247790.30	9.231	14.872	43.077	32.821	2.500
127	535027.22	6247809.50	10.850	13.306	39.918	35.926	2.400
129	535021.52	6247828.60	10.256	14.359	41.538	33.846	2.400
131	535015.82	6247847.80	9.826	13.306	41.760	35.107	2.400
135	535010.02	6247866.90	8.736	15.005	42.035	34.224	2.700
137	535004.32	6247886.10	6.695	11.715	33.577	48.013	4.400
139	534998.62	6247905.20	5.152	11.146	33.859	49.842	4.800
141	534992.82	6247924.40	5.544	9.343	31.622	53.491	2.500
143	534987.12	6247943.50	8.624	10.883	34.394	46.099	2.500
145	534981.42	6247962.60	7.559	9.908	31.052	51.481	2.200
147	534975.62	6247981.80	9.091	9.806	34.423	46.680	2.000
149	534969.92	6248000.90	8.571	10.816	28.776	51.837	2.000
151	534964.22	6248020.10	9.582	9.786	32.416	48.216	1.900
159	535057.82	6247776.90	14.388	17.575	37.410	30.627	2.700
161	535052.12	6247796.10	10.338	14.330	42.170	33.163	2.400
163	535046.42	6247815.20	11.338	13.279	41.573	33.810	2.100
165	535040.62	6247834.40	11.259	13.306	42.477	32.958	2.200
167	535034.92	6247853.50	11.373	13.832	40.676	34.119	2.400
169	535029.22	6247872.60	11.259	12.282	39.406	37.052	2.300
171	535023.42	6247891.80	9.138	11.396	37.577	41.889	2.600
173	535017.72	6247910.90	5.533	8.402	33.197	52.869	2.400
175	535012.02	6247930.10	5.000	6.327	29.592	59.082	2.000
177	535006.22	6247949.20	7.091	10.380	33.402	49.126	2.700
179	535000.52	6247968.40	8.188	10.338	34.596	46.878	2.400
181	534994.82	6247987.50	9.611	10.838	32.924	46.626	2.100
183	534989.02	6248006.70	9.174	10.296	31.397	49.134	2.000
185	534983.32	6248025.80	9.100	10.327	36.401	44.172	2.100
187	535077.02	6247782.70	13.744	15.077	38.769	32.410	2.500
189	535071.32	6247801.80	12.360	13.790	42.084	31.767	2.200
191	535065.52	6247820.90	12.870	13.279	40.756	33.095	2.100
193	535059.82	6247840.10	11.837	14.286	40.816	33.061	2.000
195	535054.12	6247859.20	9.887	15.448	40.783	33.883	2.900
197	535048.32	6247878.40	9.240	12.320	31.314	47.125	2.500
199	535042.62	6247897.50	9.221	11.270	36.373	43.135	2.400
